year,doy,hour,Tair,Tsoil,Relhumid,VPD,Rain,Windspeed,Solradiation
2018,1,0,-12.09125,-12.09125,79.67375,0.242399253,0,0.281375,0
2018,1,1,-12.219375,-12.219375,79.429375,0.239907158,0,0.199,0
2018,1,2,-12.12375,-12.12375,79.72,0.241761742,0,0.445625,0
2018,1,3,-12.585625,-12.585625,81.99375,0.232948066,0,0.446125,0
2018,1,4,-13.178125,-13.178125,85.81875,0.221999589,0,0.744,0
2018,1,5,-13.353125,-13.353125,87.40625,0.218856224,0,0.369,0
2018,1,6,-13.358125,-13.358125,86.81875,0.218772535,0,0.3805,0
2018,1,7,-13.605,-13.605,87.2375,0.214409249,0,0.439125,16.8835
2018,1,8,-13.035,-13.035,84.93125,0.224642865,0,0.38075,113.19
2018,1,9,-11.6675,-11.6675,78.1375,0.250994037,0,0.39775,298.175
2018,1,10,-9.23,-9.23,66.66625,0.304658919,0,0.662625,529.825
2018,1,11,-7.0179375,-7.0179375,58.32875,0.36173904,0,0.94925,660.55
2018,1,12,-6.85425,-6.85425,57.3975,0.366081718,0,1.324875,512.625
2018,1,13,-6.4943125,-6.4943125,57.155625,0.376408219,0,1.428375,387.45
2018,1,14,-5.7029375,-5.7029375,55.074375,0.399782843,0,1.242625,223.275
2018,1,15,-5.3189375,-5.3189375,53.781875,0.411747782,0,1.224875,279
2018,1,16,-5.3020625,-5.3020625,53.636875,0.412201358,0,0.958625,110.94
2018,1,17,-6.93425,-6.93425,60.28375,0.364088804,0,0.630375,3.83175
2018,1,18,-7.997375,-7.997375,64.54375,0.335095923,0,0.38025,0
2018,1,19,-8.56375,-8.56375,66.60375,0.320643924,0,0.8465,0
2018,1,20,-9.5525,-9.5525,71.180625,0.296810289,0,0.643875,0
2018,1,21,-10.87625,-10.87625,76.986875,0.267214479,0,0.25575,0
2018,1,22,-11.59,-11.59,79.216875,0.252366568,0,0.058375,0
2018,1,23,-11.93625,-11.93625,80.37375,0.245500843,0,0.077625,0
2018,2,0,-7.9313125,-7.9313125,64.818125,0.3407028,0,0.473625,0
2018,2,1,-8.72225,-8.72225,65.383125,0.316981319,0,0.31525,0
2018,2,2,-10.6875,-10.6875,74.09,0.271439945,0,0.021,0
2018,2,3,-12.336875,-12.336875,82.739375,0.237992992,0,0.128,0
2018,2,4,-13.81,-13.81,86.9875,0.210881538,0,0.14075,0
2018,2,5,-13.24,-13.24,86.08125,0.220899839,0,0.329125,0
2018,2,6,-13.110625,-13.110625,85.5875,0.223278205,0,0.20775,0
2018,2,7,-13.0175,-13.0175,83.51875,0.224947816,0,0.38325,23.25875
2018,2,8,-9.153875,-9.153875,73.61375,0.309073309,0,0.44,283.725
2018,2,9,-3.2120625,-3.2120625,49.315625,0.485512374,0,0.441875,592.925
2018,2,10,0.3709375,0.3709375,37.2075,0.628231588,0,0.74075,842.15
2018,2,11,1.769875,1.769875,33.74625,0.69448673,0,0.9105,991.25
2018,2,12,3.1660625,3.1660625,31.113125,0.767261139,0,0.678125,1019.75
2018,2,13,4.558375,4.558375,28.105625,0.846593137,0,0.632375,927.75
2018,2,14,6.0169375,6.0169375,25.035625,0.936507352,0,0.4205,723.825
2018,2,15,4.87625,4.87625,27.779375,0.867226751,0,0.6785,292.475
2018,2,16,1.655375,1.655375,34.485,0.689490638,0,0.33525,68.7225
2018,2,17,-0.763375,-0.763375,40.068125,0.578337349,0,0.238125,3.1875
2018,2,18,-1.7133125,-1.7133125,42.23125,0.539114904,0,0.4935,0
2018,2,19,-1.9173125,-1.9173125,42.6675,0.531024872,0,0.547875,0
2018,2,20,-2.47,-2.47,43.9825,0.509970847,0,0.2715,0
2018,2,21,-3.6761875,-3.6761875,48.095,0.466441108,0,0.038375,0
2018,2,22,-5.77575,-5.77575,55.3675,0.397641786,0,0.38625,0
2018,2,23,-5.5624375,-5.5624375,53.95375,0.404084458,0,0.22025,0
2018,3,0,-5.117125,-5.117125,52.309375,0.418040681,0,0.36175,0
2018,3,1,-5.178125,-5.178125,52.655,0.416062097,0,0.21175,0
2018,3,2,-6.4268125,-6.4268125,56.17,0.378782408,0,0.32275,0
2018,3,3,-6.806375,-6.806375,56.509375,0.367446878,0,0.067125,0
2018,3,4,-6.749625,-6.749625,54.781875,0.369046915,0,0.144,0
2018,3,5,-6.1528125,-6.1528125,52.044375,0.3865143,0,0.359875,0
2018,3,6,-5.948,-5.948,48.84875,0.392495495,0,0.215375,0
2018,3,7,-5.3318125,-5.3318125,41.644375,0.412146158,0,0.14725,28.48375
2018,3,8,-0.4623125,-0.4623125,25.5825,0.594973708,0,0.377625,270.65
2018,3,9,3.4594375,3.4594375,18.525,0.783282612,0,1.24325,464.925
2018,3,10,5.0044375,5.0044375,18.025,0.872701645,0,1.54675,664.65
