"year","doy","hour","Tair","Tsoil","Relhumidity","VPD","Rain","Windspeed","Solradiation"
2010,1,0,4.169,0.202,89.92,0.083,0,3.31,0
2010,1,1,4.562,0.209,87.07,0.1094,0.254,3.533,0
2010,1,2,3.136,0.256,89.267,0.0821,0,2.647,0
2010,1,3,2.204,0.227,93.054,0.0497,0,2.473,0
2010,1,4,4.441,0.204,86.475,0.1135,0,3.28,0
2010,1,5,2.59,0.228,94.074,0.0436,0.254,3.02,0
2010,1,6,3.017,0.18,92.353,0.058,0,3.607,0
2010,1,7,4.227,0.181,88.254,0.0971,0,5.863,0
2010,1,8,4.76,0.166,79.619,0.1749,0,6.207,52.87
2010,1,9,5.617,0.178,70.726,0.2667,0,6.433,205.44
2010,1,10,5.945,0.196,61.879,0.3552,0,8.797,206.81
2010,1,11,0.083,0.094,98.523,0.0091,1.016,6.43,173.04
2010,1,12,1.778,0.222,89.092,0.0758,0,5.7,281.18
2010,1,13,3.224,0.233,79.77,0.1558,0,4.05,411.97
2010,1,14,3.342,0.197,73.099,0.2089,0,5.383,175.67
2010,1,15,1.948,0.186,85.364,0.1029,0,8.36,47.37
2010,1,16,1.418,0.161,92.119,0.0534,0.508,5.033,5.864
2010,1,17,0.773,0.141,92.449,0.0488,0,8.037,0
2010,1,18,1.095,-0.086,84.936,0.0996,0,8.24,0
2010,1,19,1.416,-0.087,88.193,0.0799,0,7.217,0
2010,1,20,1.288,-0.084,88.167,0.0794,0,7.107,0
2010,1,21,1.317,-0.091,88.105,0.0799,0,8.123,0
2010,1,22,1.025,0.098,88.705,0.0743,0,9.187,0
2010,1,23,1.013,0.097,86.981,0.0856,0,7.883,0
2010,2,0,0.846,0.098,88.705,0.0734,0,7.653,0
2010,2,1,0.806,0.11,85.652,0.0929,0,8.817,0
2010,2,2,0.635,0.112,83.503,0.1056,0,8.07,0
2010,2,3,0.325,0.097,89.119,0.0681,0,7.853,0
2010,2,4,0.569,0.084,79.955,0.1276,0,7.1,0
2010,2,5,0.642,0.072,78.647,0.1367,0,5.307,0
2010,2,6,0.365,0.077,83.982,0.1005,0,5.503,0
2010,2,7,0.842,0.066,79.072,0.1359,0,4.867,0
2010,2,8,0.717,0.061,80.734,0.124,0,3.253,16.003
2010,2,9,0.999,0.096,81.326,0.1227,0,2.033,67.945
2010,2,10,1.645,0.098,77.704,0.1534,0,2.633,78.895
2010,2,11,1.463,0.103,83.46,0.1123,0,2.68,121.2
2010,2,12,1.654,0.114,83.373,0.1145,0,2.667,153.24
2010,2,13,1.258,0.114,85.145,0.0994,0,3.81,145.93
2010,2,14,1.806,0.09,81.025,0.1321,0,4.503,279.73
2010,2,15,2.099,0.102,78.597,0.1522,0,4.193,221.61
2010,2,16,1.228,-0.054,82.613,0.1161,0,3.347,22.456
2010,2,17,0.641,0.071,85.414,0.0934,0,3.29,0
2010,2,18,0.58,-0.094,83.064,0.1079,0,1.127,0
2010,2,19,0.338,-0.114,83.504,0.1033,0,2.313,0
2010,2,20,0.747,-0.138,81.778,0.1175,0,1.63,0
2010,2,21,1.091,-0.15,79.243,0.1373,0,1.35,0
2010,2,22,1.038,-0.15,79.223,0.1369,0,0.193,0
2010,2,23,0.9,-0.16,79.293,0.135,0,0.057,0
2010,3,0,0.768,-0.165,80.293,0.1273,0,0.767,0
2010,3,1,0.637,-0.163,80.973,0.1218,0,0.91,0
2010,3,2,0.277,-0.156,82.915,0.1065,0,1.553,0
2010,3,3,-0.111,-0.154,85.505,0.0879,0,1.747,0
2010,3,4,-0.139,-0.152,85.229,0.0893,0,0.92,0
2010,3,5,-0.034,-0.148,83.342,0.1015,0,1.74,0
2010,3,6,0.051,-0.143,81.356,0.1143,0,2.45,0
2010,3,7,-0.009,-0.139,82.328,0.1079,0,0.343,0
2010,3,8,0.012,-0.142,82.914,0.1045,0,0.623,8.236
2010,3,9,0.142,-0.132,82.933,0.1054,0,1.423,86.995
2010,3,10,1.237,-0.03,79.279,0.1385,0,0.883,99.374
2010,3,11,1.301,0.075,79.666,0.1365,0,0.443,126.16
2010,3,12,2.349,0.097,74.281,0.1861,0,0.493,223.2
2010,3,13,2.752,0.112,70.887,0.2168,0,1.13,156.6
2010,3,14,2.787,0.109,71.998,0.2091,0,1.213,122.92
2010,3,15,3.465,0.076,68.832,0.2442,0,1.243,111.58
2010,3,16,2.986,0.066,71.532,0.2156,0,0,10.997
2010,3,17,2.667,-0.084,73.827,0.1937,0,0.167,0
2010,3,18,2.704,-0.099,72.795,0.2019,0,1.167,0
2010,3,19,2.428,-0.101,72.153,0.2027,0,1.753,0
2010,3,20,1.905,-0.1,74.4,0.1795,0,1.267,0
2010,3,21,1.504,-0.107,76.194,0.1622,0,1.69,0
2010,3,22,1.359,-0.114,77.185,0.1538,0,2.2,0
2010,3,23,2.219,-0.129,73.793,0.1879,0,1.343,0
2010,4,0,2.158,-0.135,72.907,0.1934,0,0.977,0
2010,4,1,0.788,-0.139,80.309,0.1274,0,2.04,0
2010,4,2,1.069,-0.134,78.113,0.1445,0,0.78,0
2010,4,3,1.813,-0.131,73.426,0.1851,0,0.9,0
2010,4,4,0.909,-0.134,78.194,0.1423,0,1.48,0
2010,4,5,0.797,-0.132,79.418,0.1332,0,1.33,0
2010,4,6,0.781,-0.133,79.395,0.1332,0,1.64,0
2010,4,7,1.432,-0.14,73.754,0.1779,0,2.747,0
2010,4,8,2.23,-0.133,69.948,0.2156,0,1.43,10.169
2010,4,9,3.432,-0.11,66.594,0.2611,0,1.43,39.837
2010,4,10,5.663,-0.064,60.322,0.3626,0,2.113,101.55
2010,4,11,7.359,0.078,61.471,0.3957,0,5.087,143.01
2010,4,12,8.079,0.108,64.028,0.3881,0,5.633,253.65
2010,4,13,8.346,0.095,62.427,0.4128,0,6.333,273.53
2010,4,14,6.752,0.092,75.555,0.2408,0,6.39,226.02
2010,4,15,5.579,0.082,85.678,0.1301,0,4.893,89.473
2010,4,16,5.09,0.063,90.272,0.0854,0,5.173,30.812
2010,4,17,5.024,-0.06,90.092,0.0866,0,4.33,0
2010,4,18,5.342,-0.072,92.74,0.0649,0,3.407,0
2010,4,19,5.782,-0.076,90.612,0.0865,0,3.303,0
2010,4,20,5.611,-0.07,94.548,0.0496,0,2.913,0
2010,4,21,5.553,-0.078,95.598,0.0399,0,2.887,0
2010,4,22,5.862,-0.078,94.264,0.0531,0,4.357,0
2010,4,23,6.285,-0.074,90.235,0.0932,0,4.253,0
2010,5,0,6.944,-0.006,86.346,0.1363,0,5.337,0
2010,5,1,6.971,0.045,90.058,0.0994,0,4.49,0
2010,5,2,6.529,0.054,93.308,0.0649,0,3.113,0
2010,5,3,7.613,0.048,82.818,0.1796,0,4.417,0
2010,5,4,7.259,0.06,85.404,0.1489,0,3.143,0
2010,5,5,6.329,0.084,94.839,0.0494,1.016,3.53,0
2010,5,6,6.612,0.087,93.584,0.0626,0,4.707,0
2010,5,7,6.793,0.142,92.836,0.0708,0,5.117,0
2010,5,8,6.315,0.127,93.802,0.0593,0.254,4.523,0
2010,5,9,6.782,0.119,93.669,0.0625,0,4.597,58.752
2010,5,10,7.238,0.127,91.624,0.0853,0,4.3,111.3
2010,5,11,7.671,0.141,91.534,0.0888,0.254,4.813,91.029
2010,5,12,7.689,0.133,91.578,0.0885,0.254,5.203,209.11
2010,5,13,7.74,0.125,90.099,0.1044,0,5.733,272.04
2010,5,14,7.574,0.152,92.421,0.079,0.762,3.87,64.019
2010,5,15,7.332,0.123,95.241,0.0488,0,3.853,46.904
2010,5,16,7.131,0.083,95.153,0.049,0,3.417,5.508
2010,5,17,6.904,0.056,91.636,0.0833,0,3.283,0
