Note: Compiled by EH 2018-11 for Sevilleta blue grama site,,,,,
Order,Soil_depth,Fine_root_proportion,Initial soil temperature,,Initial ice amount
Abbreviation,thksl,frlen,Stemp,waterv,ice
Unit,cm,NA,oC,unitless,unitless
1,5,0.156166667,25,0.1103,0
2,10,0.256166667,24,0.1256,0
3,15,0.306166667,23,0.1314,0
4,15,0.136166667,22,0.1049,0
5,15,0.086166667,21,0.0775,0
6,20,0.056166667,20,0.07,0
7,20,0,19,0.07,0
8,20,0,18,0.07,0
9,20,0,17,0.07,0
10,20,0,16,0.07,0
Likely range,,,,,
Reference,,,,,
Note,,,,,
