"day","NEE","Date"
13,0.01654034472,2007-01-13
15,0.5366339964,2007-01-15
17,0.21975067368,2007-01-17
37,0.15329731896,2007-02-06
38,0.06772855392,2007-02-07
41,0.08926198272,2007-02-10
60,0.1901029392,2007-03-01
62,0.13748804352,2007-03-03
64,0.25747501536,2007-03-05
66,0.040178650752,2007-03-07
68,0.00358716384,2007-03-09
93,-0.0067605732,2007-04-03
94,0.04627074672,2007-04-04
98,-0.2062412928,2007-04-08
108,-0.07630652304,2007-04-18
110,-0.27367593336,2007-04-20
120,0.2220353208,2007-04-30
124,-0.204924168,2007-05-04
142,-0.9614688552,2007-05-22
144,-0.75267639072,2007-05-24
146,-0.94887481536,2007-05-26
148,-1.057849848,2007-05-28
150,-0.692399988,2007-05-30
157,-1.5078237912,2007-06-06
161,-0.83301588,2007-06-10
172,-0.1720453176,2007-06-21
188,-0.254641536,2007-07-07
190,0.03091716,2007-07-09
192,-0.7492436712,2007-07-11
215,-0.5539940676,2007-08-03
216,-0.806207256,2007-08-04
226,-1.098388944,2007-08-14
227,-0.9084272904,2007-08-15
237,0.64447002,2007-08-25
245,-0.5955780312,2007-09-02
246,-0.722610504,2007-09-03
247,-0.913266576,2007-09-04
251,-0.438682608,2007-09-08
252,-0.34921020456,2007-09-09
253,-0.649757808,2007-09-10
257,-0.02688774048,2007-09-14
258,-0.1390434984,2007-09-15
259,-0.139205304,2007-09-16
267,0.58699934064,2007-09-24
271,-0.21020766624,2007-09-28
284,0.16947568224,2007-10-11
286,-0.083965253616,2007-10-13
302,0.3706501896,2007-10-29
303,0.8303345424,2007-10-30
341,0.21138886656,2007-12-07
366,0.540866808,2008-01-01
377,0.20235539016,2008-01-12
383,0.5354930736,2008-01-18
384,0.4514548608,2008-01-19
433,0.03880605888,2008-03-08
449,-0.05512706856,2008-03-24
461,-0.0110922912,2008-04-05
466,0.3766552704,2008-04-10
470,-0.0905055552,2008-04-14
491,-0.0488529792,2008-05-05
498,-0.116739727416,2008-05-12
502,0.38899188576,2008-05-16
504,0.4779060264,2008-05-18
510,0.19688871528,2008-05-24
512,-0.09194690808,2008-05-26
519,0.1273231656,2008-06-02
520,0.06991637472,2008-06-03
537,0.0729335988,2008-06-20
540,0.0051555744,2008-06-23
550,3.773416536,2008-07-03
552,1.662111576,2008-07-05
571,-0.380563488,2008-07-24
578,-0.942973056,2008-07-31
587,-1.0700296128,2008-08-09
590,-2.1762545184,2008-08-12
592,-2.242337688,2008-08-14
593,-2.471986296,2008-08-15
598,-1.945891944,2008-08-20
600,-2.287289664,2008-08-22
