"day","NEE","Date"
9,0.0646621272,2007-01-09
13,0.2201761872,2007-01-13
17,0.07553070288,2007-01-17
21,0.09236370168,2007-01-21
36,0.15349654872,2007-02-05
37,0.02984179104,2007-02-06
46,0.1966874184,2007-02-15
51,0.01051685424,2007-02-20
52,0.02183469048,2007-02-21
54,-0.0612204696,2007-02-23
57,0.03818566584,2007-02-26
58,-0.16092324864,2007-02-27
59,0.1456189704,2007-02-28
66,-0.03126063672,2007-03-07
68,-0.0686606976,2007-03-09
71,0.0884472588,2007-03-12
73,0.0212357376,2007-03-14
75,-0.15055183152,2007-03-16
79,-0.11253464352,2007-03-20
91,-0.19269002952,2007-04-01
92,-0.19672794,2007-04-02
93,-0.373695768,2007-04-03
94,-0.34650477648,2007-04-04
98,-0.4680224496,2007-04-08
105,-0.1244010312,2007-04-15
107,-0.32192262,2007-04-17
108,-0.3434666112,2007-04-18
110,-0.51198185592,2007-04-20
111,-0.4857197832,2007-04-21
112,-0.6256737,2007-04-22
114,-0.3017983104,2007-04-24
115,-0.4125349872,2007-04-25
123,0.164521368,2007-05-03
124,-0.3070533528,2007-05-04
125,-0.168360768,2007-05-05
131,-0.4695605856,2007-05-11
142,-0.92347532784,2007-05-22
143,-0.915466968,2007-05-23
144,-0.839429676,2007-05-24
146,-0.71817138,2007-05-26
157,-0.98874972,2007-06-06
158,-1.1117888064,2007-06-07
161,-0.8274219552,2007-06-10
180,-0.2768466168,2007-06-29
181,-0.112027536,2007-06-30
182,-0.2103998112,2007-07-01
183,-0.140156352,2007-07-02
184,-0.04136747112,2007-07-03
187,0.58036126536,2007-07-06
195,-0.3311173944,2007-07-14
199,0.16904247264,2007-07-18
201,-0.2575244988,2007-07-20
206,0.37785444624,2007-07-25
207,0.05951293776,2007-07-26
209,-0.09607397256,2007-07-28
216,-0.2531855448,2007-08-04
218,-0.25920263088,2007-08-06
219,-0.29852279352,2007-08-07
224,-0.04582916928,2007-08-12
225,-0.19843525584,2007-08-13
226,-0.2704466664,2007-08-14
227,-0.2477004516,2007-08-15
228,-0.20635620048,2007-08-16
237,0.4801497912,2007-08-25
247,-0.0853040592,2007-09-04
248,-0.2449166328,2007-09-05
252,-0.2012977656,2007-09-09
258,-0.3188531304,2007-09-15
260,-0.4242542184,2007-09-17
265,-0.42564388464,2007-09-22
268,-0.1484465184,2007-09-25
271,-0.3624027264,2007-09-28
276,-0.27349584336,2007-10-03
286,-0.363104005176,2007-10-13
287,-0.35327723184,2007-10-14
288,-0.28955646936,2007-10-15
293,-0.227518998768,2007-10-20
302,-0.19465810056,2007-10-29
313,-0.04876444728,2007-11-09
366,0.5344133112,2008-01-01
367,0.3133038528,2008-01-02
370,0.04693934016,2008-01-05
388,0.14557009176,2008-01-23
402,0.10017069336,2008-02-06
406,0.045072666216,2008-02-10
409,-0.10448432352,2008-02-13
410,-0.10048447008,2008-02-14
415,-0.056787965784,2008-02-19
422,-0.095118529392,2008-02-26
433,-0.16074453024,2008-03-08
437,-0.1032674616,2008-03-12
439,0.058004549064,2008-03-14
440,-0.28940636232,2008-03-15
442,-0.17438111568,2008-03-17
443,0.000125863199999998,2008-03-18
449,-0.31273271856,2008-03-24
450,-0.126948028896,2008-03-25
470,-0.3565754244,2008-04-14
474,-0.25923349944,2008-04-18
475,-0.206023810608,2008-04-19
498,-0.4093280676,2008-05-12
499,-0.54256454208,2008-05-13
502,-0.01139541696,2008-05-16
504,-0.11929072392,2008-05-18
506,0.09178077168,2008-05-20
510,-0.22757263416,2008-05-24
511,-0.3009334896,2008-05-25
512,-0.43413116832,2008-05-26
515,-0.30057125976,2008-05-29
539,-0.28290702168,2008-06-22
568,1.3072979448,2008-07-21
570,0.7463037384,2008-07-23
578,-0.09161201088,2008-07-31
580,-0.0181163304,2008-08-02
590,-0.4717243224,2008-08-12
591,-0.5450592816,2008-08-13
593,-1.16785152,2008-08-15
596,-0.70549272,2008-08-18
597,-1.140366384,2008-08-19
600,-1.62221397408,2008-08-22
605,-0.8396053056,2008-08-27
607,-1.4594687136,2008-08-29
610,-0.9168323472,2008-09-01
614,-1.00344299688,2008-09-05
615,-0.9111528,2008-09-06
616,-1.014581592,2008-09-07
617,-1.3291567992,2008-09-08
624,-0.989324928,2008-09-15
