"day","NEE","Date"
1,-5.11802,"01/01/2010"
2,-3.52363,"01/02/2010"
3,-3.71822,"01/03/2010"
4,-3.12105,"01/04/2010"
5,-2.46987,"01/05/2010"
6,-2.03842,"01/06/2010"
7,-1.72049,"01/07/2010"
8,-2.35721,"01/08/2010"
9,-3.30384,"01/09/2010"
10,-4.3755,"01/10/2010"
11,-1.53081,"01/11/2010"
12,-2.57228,"01/12/2010"
13,-3.80913,"01/13/2010"
14,-3.13383,"01/14/2010"
15,-2.49997,"01/15/2010"
16,-2.052,"01/16/2010"
17,-2.22612,"01/17/2010"
18,-2.93003,"01/18/2010"
19,-3.24196,"01/19/2010"
20,-2.25244,"01/20/2010"
21,-1.9872,"01/21/2010"
22,-1.1304,"01/22/2010"
23,-1.9146,"01/23/2010"
24,-0.871597,"01/24/2010"
25,-1.84237,"01/25/2010"
26,-1.7854,"01/26/2010"
27,-2.11478,"01/27/2010"
28,-1.96583,"01/28/2010"
29,-1.10405,"01/29/2010"
30,-1.45027,"01/30/2010"
31,-1.91463,"01/31/2010"
32,-1.07641,"02/01/2010"
33,-1.79303,"02/02/2010"
34,-2.28413,"02/03/2010"
35,-1.84908,"02/04/2010"
36,-2.52313,"02/05/2010"
37,-0.631811,"02/06/2010"
38,-1.61902,"02/07/2010"
39,-1.57775,"02/08/2010"
40,-2.94014,"02/09/2010"
41,-1.48844,"02/10/2010"
42,-0.307248,"02/11/2010"
43,-1.49265,"02/12/2010"
44,-1.63897,"02/13/2010"
45,-1.14947,"02/14/2010"
46,-2.69069,"02/15/2010"
47,-2.52766,"02/16/2010"
48,-2.51315,"02/17/2010"
49,-2.3521,"02/18/2010"
50,-2.31657,"02/19/2010"
51,-2.15331,"02/20/2010"
52,-2.20061,"02/21/2010"
53,-2.65707,"02/22/2010"
54,-1.48014,"02/23/2010"
55,-1.8659,"02/24/2010"
56,-2.75142,"02/25/2010"
57,0.0502783,"02/26/2010"
58,-2.84718,"02/27/2010"
59,-2.25864,"02/28/2010"
60,-2.42679,"03/01/2010"
61,-1.82538,"03/02/2010"
62,-1.7035,"03/03/2010"
63,-2.38272,"03/04/2010"
64,-2.17244,"03/05/2010"
65,-2.43143,"03/06/2010"
66,-2.94149,"03/07/2010"
67,-1.89049,"03/08/2010"
68,-1.52243,"03/09/2010"
69,-1.825,"03/10/2010"
70,-3.18392,"03/11/2010"
71,-1.54056,"03/12/2010"
72,-2.27205,"03/13/2010"
73,-3.35058,"03/14/2010"
74,-3.58811,"03/15/2010"
75,-4.26173,"03/16/2010"
76,-3.59794,"03/17/2010"
77,-4.38578,"03/18/2010"
78,-4.38509,"03/19/2010"
79,-2.91373,"03/20/2010"
80,-2.8374,"03/21/2010"
81,-3.32145,"03/22/2010"
82,-4.26603,"03/23/2010"
83,-3.8929,"03/24/2010"
84,-4.59571,"03/25/2010"
85,-2.89467,"03/26/2010"
86,-2.80684,"03/27/2010"
87,-6.04269,"03/28/2010"
88,-3.24214,"03/29/2010"
89,-2.08478,"03/30/2010"
