day,swc_22p5,Date
1,0.120813028,1/1/2018
2,0.121405524,1/2/2018
3,0.121713528,1/3/2018
4,0.121676283,1/4/2018
5,0.121425173,1/5/2018
6,0.121268998,1/6/2018
7,0.120861137,1/7/2018
8,0.120654816,1/8/2018
9,0.120513716,1/9/2018
10,0.119994997,1/10/2018
11,0.119720259,1/11/2018
12,0.119748328,1/12/2018
13,0.119713618,1/13/2018
14,0.119721932,1/14/2018
15,0.119568783,1/15/2018
16,0.119889474,1/16/2018
17,0.120319107,1/17/2018
18,0.12057573,1/18/2018
19,0.120294807,1/19/2018
20,0.119769199,1/20/2018
21,0.119251818,1/21/2018
22,0.119422959,1/22/2018
23,0.119572744,1/23/2018
24,0.119792179,1/24/2018
25,0.119578531,1/25/2018
26,0.119196496,1/26/2018
27,0.119007646,1/27/2018
28,0.119054248,1/28/2018
29,0.11885561,1/29/2018
30,0.11872969,1/30/2018
31,0.118288066,1/31/2018
32,0.117700334,2/1/2018
33,0.117810362,2/2/2018
34,0.117632704,2/3/2018
35,0.117022461,2/4/2018
36,0.116933993,2/5/2018
37,0.116507819,2/6/2018
38,0.116468172,2/7/2018
39,0.116348735,2/8/2018
40,0.115854874,2/9/2018
41,0.115395472,2/10/2018
42,0.115942246,2/11/2018
43,0.11628685,2/12/2018
44,0.116403784,2/13/2018
45,0.116044875,2/14/2018
46,0.115562749,2/15/2018
47,0.115277438,2/16/2018
48,0.115404259,2/17/2018
49,0.115129677,2/18/2018
50,0.11497969,2/19/2018
51,0.114820093,2/20/2018
52,0.114685906,2/21/2018
53,0.11510001,2/22/2018
54,0.115165702,2/23/2018
55,0.114806011,2/24/2018
56,0.114851031,2/25/2018
57,0.114923865,2/26/2018
58,0.114674475,2/27/2018
59,0.114232568,2/28/2018
60,0.114098264,3/1/2018
61,0.114007928,3/2/2018
62,0.113493804,3/3/2018
63,0.113044641,3/4/2018
64,0.112518281,3/5/2018
65,0.112526562,3/6/2018
66,0.112617324,3/7/2018
67,0.112546472,3/8/2018
68,0.112052768,3/9/2018
69,0.111603191,3/10/2018
70,0.111146432,3/11/2018
71,0.111183339,3/12/2018
72,0.111064247,3/13/2018
73,0.110948269,3/14/2018
74,0.110537198,3/15/2018
75,0.110228802,3/16/2018
76,0.109991521,3/17/2018
77,0.10964586,3/18/2018
78,0.10955255,3/19/2018
79,0.10948733,3/20/2018
80,0.109364882,3/21/2018
81,0.109178153,3/22/2018
82,0.108742186,3/23/2018
83,0.108321977,3/24/2018
84,0.108088348,3/25/2018
85,0.107739498,3/26/2018
86,0.10790509,3/27/2018
87,0.108308077,3/28/2018
88,0.108450936,3/29/2018
