 NEE,GPP,Reco,FoliageC
     0.00636760,     0.00000000,     0.00636760,   0.0156380907
     0.00616854,     0.00000000,     0.00616854,   0.0130922524
     0.00610489,     0.00000000,     0.00610489,   0.0108937733
     0.00603824,     0.00000000,     0.00603824,   0.0091613242
     0.00602068,     0.00000000,     0.00602068,   0.0083479127
     0.00674070,     0.00000000,     0.00674070,   0.0073710456
     0.00661955,     0.00000000,     0.00661955,   0.0061186221
     0.00630805,     0.00000000,     0.00630805,   0.0051612649
     0.00635340,     0.00000000,     0.00635340,   0.0044129477
     0.00681599,     0.00000000,     0.00681599,   0.0038047447
     0.00909641,     0.00000000,     0.00909641,   0.0036087977
     0.01086634,     0.00000000,     0.01086634,   0.0035039803
     0.01094371,     0.00000000,     0.01094371,   0.0034019651
     0.00863675,     0.00000000,     0.00863675,   0.0031577272
     0.00578304,     0.00000000,     0.00578304,   0.0026257888
     0.00571342,     0.00000000,     0.00571342,   0.0021325971
     0.00571583,     0.00000000,     0.00571583,   0.0017484087
     0.00572445,     0.00000000,     0.00572445,   0.0014068861
     0.00573439,     0.00000000,     0.00573439,   0.0010850569
     0.00727619,     0.00000000,     0.00727619,   0.0008061235
     0.00879208,     0.00000000,     0.00879208,   0.0006181668
     0.00799879,     0.00000000,     0.00799879,   0.0004642975
     0.00719404,     0.00000000,     0.00719404,   0.0002832932
     0.00740087,     0.00000000,     0.00740087,   0.0001370302
     0.00700491,     0.00000000,     0.00700491,   0.0000499448
     0.00678366,     0.00000000,     0.00678366,   0.0000007518
     0.00693603,     0.00000000,     0.00693603,   0.0000000000
     0.00667284,     0.00000000,     0.00667284,   0.0000000000
     0.00717113,     0.00000000,     0.00717113,   0.0000000000
     0.00693154,     0.00000000,     0.00693154,   0.0000000000
     0.00892596,     0.00000000,     0.00892596,   0.0000000000
     0.00800315,     0.00000000,     0.00800315,   0.0000000000
     0.00693755,     0.00000000,     0.00693755,   0.0000000000
     0.00599809,     0.00000000,     0.00599809,   0.0000000000
     0.00634283,     0.00000000,     0.00634283,   0.0000000000
     0.00661279,     0.00000000,     0.00661279,   0.0000000000
     0.00642700,     0.00000000,     0.00642700,   0.0000000000
     0.00855990,     0.00000000,     0.00855990,   0.0000000000
     0.00978327,     0.00000000,     0.00978327,   0.0000000000
     0.01036220,     0.00000000,     0.01036220,   0.0000000000
     0.01131025,     0.00000000,     0.01131025,   0.0000000000
     0.01111113,     0.00000000,     0.01111113,   0.0000000000
     0.01234593,     0.00000000,     0.01234593,   0.0000000000
     0.00945714,     0.00000000,     0.00945714,   0.0000000000
     0.01293285,     0.00000000,     0.01293285,   0.0000000000
     0.01357409,     0.00000000,     0.01357409,   0.0000000000
     0.01227519,     0.00000000,     0.01227519,   0.0000000000
     0.01538084,     0.00000000,     0.01538084,   0.0000000000
     0.01452330,     0.00000000,     0.01452330,   0.0000000000
     0.01579180,     0.00000000,     0.01579180,   0.0000000000
     0.01501911,     0.00000000,     0.01501911,   0.0000000000
     0.01029011,     0.00000000,     0.01029011,   0.0000000000
     0.01122410,     0.00000000,     0.01122410,   0.0000000000
     0.01447350,     0.00000000,     0.01447350,   0.0000000000
     0.01160416,     0.00000000,     0.01160416,   0.0000000000
     0.00905362,     0.00000000,     0.00905362,   0.0000000000
     0.01280625,     0.00000000,     0.01280625,   0.0000000000
    -0.00589629,     0.02246618,     0.01656989,   0.0050079748
     0.00141229,     0.01356090,     0.01497318,   0.0130742053
     0.00261180,     0.00830305,     0.01091485,   0.0162071064
     0.00112228,     0.00769477,     0.00881705,   0.0180663578
     0.00284269,     0.00484048,     0.00768318,   0.0187222734
    -0.00025668,     0.00706110,     0.00680443,   0.0189850274
    -0.00018211,     0.00729273,     0.00711062,   0.0202970002
    -0.00272476,     0.01078477,     0.00806002,   0.0229904223
     0.00016145,     0.01146509,     0.01162655,   0.0275262836
     0.00256574,     0.01004241,     0.01260814,   0.0319724530
     0.00131022,     0.01214446,     0.01345468,   0.0357628725
     0.00387005,     0.01016328,     0.01403334,   0.0402909406
     0.00448524,     0.00893811,     0.01342335,   0.0437224582
     0.00313727,     0.01016347,     0.01330073,   0.0458582118
     0.00357925,     0.01168373,     0.01526297,   0.0496990606
     0.00378166,     0.01348437,     0.01726603,   0.0547033548
     0.00496991,     0.01354129,     0.01851119,   0.0600233935
     0.00589216,     0.01099420,     0.01688635,   0.0641717091
