 yr,GPP_yr,NPP_yr,NEE_yr,Resp_eco_yr,Resp_auto_yr,    Resp_hetero_yr,NPP_L_yr,NPP_R_yr,LAI_yr
    2007,      60.967651,      53.483364,     -27.256430,      33.711250,       6.096781,      27.614475,      27.776779,      25.706366,       0.103215
    2008,      37.539833,      32.931206,       6.281578,      43.821415,       3.753981,      40.067448,      18.264095,      14.667088,       0.072298
    2009,      22.199820,      19.369013,      16.169394,      38.369175,       2.219983,      36.149204,      10.308436,       9.060607,       0.053805
    2010,      19.889652,      17.386621,       7.969013,      27.858648,       1.988970,      25.869715,       9.150821,       8.235824,       0.051351
    2011,       3.946670,       3.423157,       9.540892,      13.487583,       0.394667,      13.092896,       1.754419,       1.668750,       0.049997
    2012,      17.668114,      15.467124,       2.128861,      19.797009,       1.766812,      18.030182,       8.122940,       7.344219,       0.050816
    2013,      40.210068,      35.361027,     -14.114342,      26.095728,       4.021004,      22.074682,      20.019539,      15.341430,       0.078090
    2014,      21.827185,      19.096918,       9.976565,      31.803768,       2.182716,      29.621033,      10.558659,       8.538279,       0.057629
    2015,      30.438688,      26.631166,       2.274839,      32.713448,       3.043872,      29.669668,      13.933343,      12.697931,       0.061482
    2016,      13.043894,      11.386422,      10.040922,      23.084892,       1.304390,      21.780483,       6.001718,       5.384734,       0.050001
    2017,      30.150019,      26.438437,      -1.344705,      28.805302,       3.015001,      25.790283,      14.267391,      12.171003,       0.060767
    2018,      22.793829,      19.939930,       6.776779,      29.570557,       2.279381,      27.291208,      10.800121,       9.139798,       0.057004
    2019,      20.183237,      17.623743,       4.738807,      24.922070,       2.018322,      22.903736,       9.097496,       8.526125,       0.050146
    2020,      12.479781,      10.898229,       6.427183,      18.906971,       1.247978,      17.658981,       5.686705,       5.211509,       0.050001
