 swc(1),swc(2),swc(3),swc(4),swc(5),swc(6),swc(7),swc(8),swc(9),swc(10)
   0.0653608441,   0.0958972499,   0.1038242504,   0.0918860808,   0.0855843946,   0.0896186084,   0.0956606716,   0.1013102308,   0.1110227555,   0.4066308141
   0.0838571936,   0.0948640779,   0.1033766940,   0.0924394950,   0.0858361870,   0.0895144865,   0.0954713449,   0.1011084542,   0.1108291149,   0.4064069092
   0.0810619071,   0.0941546485,   0.1029204801,   0.0929455832,   0.0861007795,   0.0894202963,   0.0952855945,   0.1009082198,   0.1106357947,   0.4061775208
   0.0779712647,   0.0933528244,   0.1024469435,   0.0934020728,   0.0863738060,   0.0893347263,   0.0951030105,   0.1007092521,   0.1104427278,   0.4059424400
   0.0960904360,   0.0926660448,   0.1019568294,   0.0938107744,   0.0866533220,   0.0892579630,   0.0949237794,   0.1005116478,   0.1102499217,   0.4057018161
   0.0993702784,   0.0931220874,   0.1015039235,   0.0941820294,   0.0869419202,   0.0891927928,   0.0947492942,   0.1003161147,   0.1100578085,   0.4054565132
   0.0948643163,   0.0933965072,   0.1010878384,   0.0945124552,   0.0872335508,   0.0891365707,   0.0945785642,   0.1001221463,   0.1098660827,   0.4052061737
   0.0910146981,   0.0933707282,   0.1006935164,   0.0948056355,   0.0875266567,   0.0890893042,   0.0944117308,   0.0999298096,   0.1096748039,   0.4049506783
   0.0869420320,   0.0930979475,   0.1003176942,   0.0950683057,   0.0878219232,   0.0890522376,   0.0942495018,   0.0997394621,   0.1094842330,   0.4046906233
   0.0834212527,   0.0926280394,   0.0999428704,   0.0952994749,   0.0881164074,   0.0890242010,   0.0940915868,   0.0995509923,   0.1092942804,   0.4044257402
   0.0807949379,   0.0920261964,   0.0995514095,   0.0954958573,   0.0884060934,   0.0890033320,   0.0939373598,   0.0993640870,   0.1091047078,   0.4041559100
   0.0785889700,   0.0913557112,   0.0991556421,   0.0956649929,   0.0886933506,   0.0889916718,   0.0937879160,   0.0991793126,   0.1089159399,   0.4038817286
   0.0766381398,   0.0906358361,   0.0987462550,   0.0958047360,   0.0889751539,   0.0889877453,   0.0936428308,   0.0989964679,   0.1087278351,   0.4036031067
   0.0748439059,   0.0898986310,   0.0983429030,   0.0959246159,   0.0892554671,   0.0889941081,   0.0935034379,   0.0988163278,   0.1085408255,   0.4033207595
   0.0731352195,   0.0891459510,   0.0979367718,   0.0960225165,   0.0895316228,   0.0890090540,   0.0933692753,   0.0986387059,   0.1083548218,   0.4030346572
   0.0715039819,   0.0883771852,   0.0975175723,   0.0960948542,   0.0898003280,   0.0890307277,   0.0932398140,   0.0984632075,   0.1081696823,   0.4027444124
   0.0699407533,   0.0876007900,   0.0970886275,   0.0961435586,   0.0900612324,   0.0890591517,   0.0931151807,   0.0982900485,   0.1079854667,   0.4024504721
   0.0686696842,   0.0868265852,   0.0966543034,   0.0961713046,   0.0903145149,   0.0890945420,   0.0929956511,   0.0981193706,   0.1078023389,   0.4021528065
   0.0675660223,   0.0860632807,   0.0962165073,   0.0961792916,   0.0905595869,   0.0891366526,   0.0928813145,   0.0979513004,   0.1076202989,   0.4018517137
