 yr,transp_yr,evap_yr,runoff_yr,water_leach_yr,swater_slw_yr,swater_slw_gs,    waterF1,waterF2,waterF3,waterF4,waterF5
    2007,  52.3974304199,  84.1428298950,   0.0000000000,  99.3919448853,   0.0938230678,   0.1250164509, 167.5361785889, 156.2203521729, 134.2224426270, 120.9765853882, 112.2253189087
    2008,  26.0501976013,  82.7850036621,   0.0000000000, 121.1259078979,   0.1015908793,   0.1433716565, 180.6567687988, 176.9411621094, 171.8904724121, 171.8899688721, 170.3786163330
    2009,  21.2423839569,  76.9044876099,   0.0000000000, 140.0792999268,   0.1118534803,   0.1315379739, 180.1646881104, 173.8563232422, 161.7302093506, 153.5797119141, 147.2868194580
    2010,  18.3960323334,  61.4856071472,   0.0000000000, 170.9456634521,   0.0973876789,   0.1011210606, 138.6184997559, 138.5129547119, 138.0081024170, 140.7970275879, 143.7466888428
    2011,   7.1461834908,  46.1749610901,   0.0000000000,  91.9340362549,   0.0411233306,   0.0359980725,  92.0921249390,  85.6149444580,  72.0334625244,  61.3548469543,  55.9904174805
    2012,  19.0185813904,  61.8647117615,   0.0000000000, 100.9027328491,   0.0765593052,   0.0944119692, 113.6126403809, 112.5113601685, 114.4067993164, 121.5342254639, 125.8456344604
    2013,  28.0412616730,  86.7904663086,   0.0000000000, 114.7338027954,   0.1032772511,   0.1575311720, 196.8763122559, 191.0084228516, 179.2022094727, 172.7674255371, 168.6727905273
    2014,  16.5858078003,  87.3054199219,   0.0000000000, 153.2848052979,   0.0986525491,   0.1339047104, 160.5684967041, 156.8167572021, 150.2477722168, 146.5283355713, 143.4170379639
    2015,  25.8985977173,  89.6452331543,   0.0000000000, 149.8542175293,   0.1263944358,   0.1161064133, 198.3520660400, 190.1888732910, 175.3560333252, 165.0805206299, 157.0016937256
    2016,  13.7329082489,  64.8087005615,   0.0000000000, 158.2985076904,   0.0848091915,   0.0681284815, 128.5254821777, 125.6739349365, 124.0712661743, 126.9195632935, 130.0755767822
    2017,  24.5445404053,  83.2069931030,   0.0000000000, 150.6470184326,   0.1248018220,   0.1437890977, 182.5641174316, 186.3910369873, 184.5863037109, 184.7819824219, 185.1808471680
    2018,  21.0477981567,  82.3744506836,   0.0000000000, 146.1499938965,   0.1098908782,   0.1413122416, 180.6466217041, 172.3200531006, 162.6179962158, 157.7562255859, 154.0872650146
    2019,  19.6405849457,  78.8283157349,   0.0000000000, 152.3958129883,   0.1064518020,   0.0948607326, 169.1151275635, 163.0234527588, 150.6272888184, 142.3101806641, 135.2718811035
    2020,  13.8961095810,  54.3440704346,   0.0000000000, 143.3087768555,   0.0617849454,   0.0551085584,  98.7935333252,  98.6720123291,  96.6148757935, 100.8345794678, 108.3558883667
