 NEE,GPP,Reco,FoliageC
     0.03244364,     0.00000000,     0.03244364,   0.0551025420
     0.02910523,     0.00000000,     0.02910523,   0.0465922803
     0.02878647,     0.00000000,     0.02878647,   0.0393556021
     0.02836629,     0.00000000,     0.02836629,   0.0336661711
     0.03276803,     0.00000000,     0.03276803,   0.0310195573
     0.03354067,     0.00000000,     0.03354067,   0.0277049374
     0.02916948,     0.00000000,     0.02916948,   0.0234680194
     0.02945217,     0.00000000,     0.02945217,   0.0203068387
     0.02977681,     0.00000000,     0.02977681,   0.0177861806
     0.03123043,     0.00000000,     0.03123043,   0.0155930631
     0.04114818,     0.00000000,     0.04114818,   0.0148604736
     0.04950637,     0.00000000,     0.04950637,   0.0144378012
     0.05053492,     0.00000000,     0.05053492,   0.0140253082
     0.04099433,     0.00000000,     0.04099433,   0.0130266892
     0.02762156,     0.00000000,     0.02762156,   0.0108850142
     0.02579526,     0.00000000,     0.02579526,   0.0090825800
     0.02629924,     0.00000000,     0.02629924,   0.0076790182
     0.02621991,     0.00000000,     0.02621991,   0.0064607812
     0.02663872,     0.00000000,     0.02663872,   0.0053106109
     0.02654667,     0.00000000,     0.02654667,   0.0043197316
     0.02844809,     0.00000000,     0.02844809,   0.0035960500
     0.02737791,     0.00000000,     0.02737791,   0.0029236455
     0.02590468,     0.00000000,     0.02590468,   0.0022967362
     0.02701826,     0.00000000,     0.02701826,   0.0018167907
     0.02968246,     0.00000000,     0.02968246,   0.0014261660
     0.02858959,     0.00000000,     0.02858959,   0.0010608099
     0.02830270,     0.00000000,     0.02830270,   0.0007331281
     0.02687627,     0.00000000,     0.02687627,   0.0004504737
     0.02689075,     0.00000000,     0.02689075,   0.0001988002
     0.02625031,     0.00000000,     0.02625031,   0.0000155734
     0.03072365,     0.00000000,     0.03072365,   0.0000000000
     0.02884749,     0.00000000,     0.02884749,   0.0000000000
     0.02556502,     0.00000000,     0.02556502,   0.0000000000
     0.02460600,     0.00000000,     0.02460600,   0.0000000000
     0.02512254,     0.00000000,     0.02512254,   0.0000000000
     0.02573998,     0.00000000,     0.02573998,   0.0000000000
     0.02460532,     0.00000000,     0.02460532,   0.0000000000
     0.03208752,     0.00000000,     0.03208752,   0.0000000000
     0.03617450,     0.00000000,     0.03617450,   0.0000000000
     0.03780977,     0.00000000,     0.03780977,   0.0000000000
     0.04062537,     0.00000000,     0.04062537,   0.0000000000
     0.03942605,     0.00000000,     0.03942605,   0.0000000000
     0.03922699,     0.00000000,     0.03922699,   0.0000000000
     0.03077143,     0.00000000,     0.03077143,   0.0000000000
     0.02690324,     0.00000000,     0.02690324,   0.0000000000
     0.02333310,     0.00000000,     0.02333310,   0.0000000000
     0.02331988,     0.00000000,     0.02331988,   0.0000000000
     0.03067021,     0.00000000,     0.03067021,   0.0000000000
     0.03019084,     0.00000000,     0.03019084,   0.0000000000
     0.03463391,     0.00000000,     0.03463391,   0.0000000000
     0.03473668,     0.00000000,     0.03473668,   0.0000000000
     0.02530666,     0.00000000,     0.02530666,   0.0000000000
     0.02897160,     0.00000000,     0.02897160,   0.0000000000
     0.03813847,     0.00000000,     0.03813847,   0.0000000000
     0.03122923,     0.00000000,     0.03122923,   0.0000000000
     0.02476956,     0.00000000,     0.02476956,   0.0000000000
     0.03587434,     0.00000000,     0.03587434,   0.0000000000
    -0.03090896,     0.08008100,     0.04917205,   0.0180634428
    -0.00826553,     0.05375921,     0.04549368,   0.0485465825
    -0.00269440,     0.03685953,     0.03416513,   0.0624389946
    -0.01010168,     0.03832655,     0.02822487,   0.0728126764
    -0.00351426,     0.02747226,     0.02395801,   0.0789268315
    -0.02211078,     0.04582129,     0.02371051,   0.0851821378
    -0.02907760,     0.05491584,     0.02583823,   0.0995492414
    -0.05002936,     0.08030193,     0.03027257,   0.1234698594
    -0.04293771,     0.08522885,     0.04229114,   0.1589195132
    -0.02973517,     0.07498025,     0.04524508,   0.1934237629
    -0.04088385,     0.08970780,     0.04882396,   0.2238935679
    -0.02575468,     0.07576572,     0.05001104,   0.2590147853
    -0.01973645,     0.06732579,     0.04758934,   0.2861973047
    -0.02853714,     0.07621516,     0.04767803,   0.3049699962
    -0.03274531,     0.08738220,     0.05463688,   0.3355417252
