 yr,GPP_yr,NPP_yr,NEE_yr,Resp_eco_yr,Resp_auto_yr,    Resp_hetero_yr,NPP_L_yr,NPP_R_yr,LAI_yr
    2007,      30.396788,      26.602900,       0.799225,      31.195993,       3.039677,      28.156359,      13.759551,      12.843254,       0.060944
    2008,      47.482811,      41.657478,     -14.819124,      32.663734,       4.748280,      27.915415,      21.958641,      19.698971,       0.071405
    2009,      42.251904,      36.926495,      -2.513757,      39.738285,       4.225199,      35.513023,      19.230787,      17.695816,       0.071077
    2010,      81.350677,      71.308929,     -32.413944,      48.936760,       8.135057,      40.801708,      36.847370,      34.461582,       0.121163
    2011,      15.522363,      13.442292,      23.091053,      38.613277,       1.552236,      37.061115,       6.848832,       6.593476,       0.049997
    2012,      39.504204,      34.598202,      -9.173987,      30.330254,       3.950424,      26.379850,      17.960022,      16.638203,       0.071238
    2013,      35.581936,      31.179949,      -4.673917,      30.907970,       3.558191,      27.349722,      16.442110,      14.737798,       0.064154
    2014,      32.597168,      28.516325,      -1.825419,      30.771761,       3.259718,      27.512053,      14.946311,      13.569956,       0.059040
    2015,      76.949554,      67.422462,     -31.567648,      45.381992,       7.694952,      37.686996,      34.680927,      32.741566,       0.116827
    2016,      49.566250,      43.336430,       1.143610,      50.709682,       4.956624,      45.753021,      22.490034,      20.846481,       0.080103
    2017,      96.027885,      84.197701,     -36.855675,      59.172062,       9.602761,      49.569324,      43.672947,      40.524509,       0.137766
    2018,      36.741394,      32.020130,      19.045065,      55.786484,       3.674145,      52.112335,      16.769102,      15.251172,       0.062698
    2019,      69.585320,      60.945900,     -23.360460,      46.224857,       6.958540,      39.266418,      31.340942,      29.605019,       0.107617
    2020,      42.781570,      37.378716,       2.664085,      45.445614,       4.278153,      41.167583,      19.351696,      18.026772,       0.075655
