 swc1,swc2,swc3,swc4,swc5
 cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3,cm3/cm3
   0.0646630824,   0.0959606767,   0.0962338150,   0.0604383573,   0.1223102212
   0.0639075860,   0.0958388448,   0.0960724130,   0.0603589043,   0.1220789999
   0.0634796470,   0.0956462249,   0.0959305838,   0.0602939352,   0.1218641847
   0.0807181671,   0.0978264734,   0.0970238596,   0.0602111332,   0.1216146275
   0.0950815156,   0.1027687117,   0.0973146111,   0.0601802617,   0.1214411706
   0.1428977102,   0.1301343143,   0.1076891795,   0.0603561103,   0.1213487685
   0.1529491246,   0.1501935273,   0.1267390698,   0.0626460016,   0.1231030822
   0.1424041241,   0.1440792680,   0.1242891327,   0.0636669397,   0.1260002404
   0.1353838146,   0.1408921927,   0.1225015074,   0.0637544319,   0.1277155578
   0.1301706284,   0.1375166327,   0.1205817312,   0.0637215674,   0.1287536621
   0.1238314807,   0.1337526739,   0.1188975200,   0.0636379719,   0.1293360740
   0.1182722300,   0.1304433793,   0.1177987084,   0.0633964241,   0.1295742095
   0.1140521243,   0.1278400123,   0.1173644960,   0.0630786121,   0.1294299811
   0.1128282994,   0.1272332221,   0.1175796837,   0.0632256642,   0.1294352263
   0.1928908080,   0.1634110957,   0.1319070160,   0.0662212670,   0.1316113472
   0.1979092658,   0.1755319536,   0.1449975073,   0.0784055293,   0.1351302564
   0.1991017014,   0.1796148121,   0.1500487030,   0.0896911696,   0.1386409551
   0.1997065842,   0.1827519089,   0.1534255743,   0.0942683965,   0.1445948482
   0.2000012547,   0.1838120222,   0.1553932279,   0.0961812213,   0.1498259455
   0.2005169988,   0.1845870316,   0.1567723006,   0.0975782573,   0.1546892226
   0.1890751570,   0.1820838749,   0.1573899686,   0.0981914774,   0.1591001004
   0.1721092016,   0.1730220318,   0.1541783512,   0.0954307020,   0.1617590934
   0.1642890871,   0.1666849107,   0.1492775232,   0.0924855471,   0.1628370881
   0.1593986899,   0.1623228490,   0.1454425454,   0.0903809071,   0.1635593921
