 NEE,GPP,Reco,FoliageC
     0.51765096,     0.00000000,     0.51765096,  11.9773235321
     0.35966346,     0.00000000,     0.35966346,  10.3638706207
     0.36565301,     0.00000000,     0.36565301,   9.2865867615
     0.44125843,     0.00000000,     0.44125843,   8.9862861633
     0.43758824,     0.00000000,     0.43758824,   8.4108552933
     0.46947899,     0.00000000,     0.46947899,   8.2134828568
     0.53148597,     0.00000000,     0.53148597,   8.1290645599
     0.46882683,     0.00000000,     0.46882683,   7.6915116310
     0.55350763,     0.00000000,     0.55350763,   7.5514249802
     0.58975828,     0.00000000,     0.58975828,   7.4793620110
     0.46451125,     0.00000000,     0.46451125,   7.1157956123
     0.43163696,     0.00000000,     0.43163696,   6.4571361542
     0.42452282,     0.00000000,     0.42452282,   5.9425859451
     0.43835336,     0.00000000,     0.43835336,   5.5968742371
     0.35047141,     0.00000000,     0.35047141,   5.1935729980
     0.26277849,     0.00000000,     0.26277849,   4.4277753830
     0.26102641,     0.00000000,     0.26102641,   3.8243761063
     0.28734463,     0.00000000,     0.28734463,   3.4378824234
     0.47574782,     0.00000000,     0.47574782,   3.3689303398
     0.56436074,     0.00000000,     0.56436074,   3.3336608410
     0.46394208,     0.00000000,     0.46394208,   3.1877017021
     0.31527042,     0.00000000,     0.31527042,   2.8371763229
     0.30388781,     0.00000000,     0.30388781,   2.5355944633
     0.30162367,     0.00000000,     0.30162367,   2.2723512650
     0.43023685,     0.00000000,     0.43023685,   2.1890964508
     0.47876316,     0.00000000,     0.47876316,   2.1484792233
     0.32858124,     0.00000000,     0.32858124,   1.9585295916
     0.41029009,     0.00000000,     0.41029009,   1.8153381348
     0.42754331,     0.00000000,     0.42754331,   1.6900976896
     0.47305739,     0.00000000,     0.47305739,   1.5904668570
     0.55399531,     0.00000000,     0.55399531,   1.5669814348
     0.45281163,     0.00000000,     0.45281163,   1.4737366438
     0.40719667,     0.00000000,     0.40719667,   1.3218742609
     0.54100156,     0.00000000,     0.54100156,   1.2919292450
     0.25849780,     0.24312407,     0.50162184,   1.2602614164
     0.28318387,     0.23599474,     0.51917857,   1.2312021255
     0.26746562,     0.21109249,     0.47855812,   1.1899666786
     0.25136718,     0.21162356,     0.46299076,   1.1315425634
     0.25808975,     0.27292520,     0.53101492,   1.1361976862
     0.33513311,     0.24137960,     0.57651269,   1.1674902439
     0.30195692,     0.07833766,     0.38029456,   1.0946843624
     0.16558701,     0.11883093,     0.28441796,   0.9638782144
     0.21239090,     0.12422752,     0.33661836,   0.8661930561
     0.20525454,     0.24022330,     0.44547781,   0.8230047226
     0.30452317,     0.25570932,     0.56023252,   0.8547217846
     0.31862476,     0.22857499,     0.54719973,   0.8900650144
     0.31085557,     0.09126122,     0.40211678,   0.8627703190
     0.24940094,     0.22453327,     0.47393423,   0.8446277380
     0.30905831,     0.25812489,     0.56718320,   0.8766306043
     0.37709376,     0.19118905,     0.56828278,   0.9092990160
     0.35955983,     0.15544182,     0.51500160,   0.9053230286
     0.22570267,     0.07974385,     0.30544657,   0.8191714287
