 swc(1),swc(2),swc(3),swc(4),swc(5),swc(6),swc(7),swc(8),swc(9),swc(10),duplicate_swc(1),duplicate_swc(2),duplicate_swc(3),duplicate_swc(4)
   0.1295291930,   0.1409976929,   0.1315787137,   0.0944495946,   0.1422139555,   0.1825971901,   0.1274680197,   0.1187745333,   0.1107291356,   0.1423681676,   0.1294375509,   0.1409493536,   0.1315659881,   0.0944562256
   0.1295498013,   0.1398830861,   0.1292019933,   0.0875591412,   0.1470479369,   0.1921207160,   0.1320016086,   0.1118783727,   0.1034569889,   0.1466509849,   0.1294693351,   0.1398375481,   0.1291868538,   0.0875633880
   0.1300106049,   0.1391656101,   0.1276741624,   0.0841851756,   0.1507446021,   0.1964202821,   0.1346562058,   0.1073426083,   0.0991919562,   0.1489630789,   0.1299355030,   0.1391213536,   0.1276575029,   0.0841883495
   0.1273364276,   0.1375324130,   0.1264776736,   0.0821263939,   0.1533093452,   0.1991747469,   0.1364071071,   0.1040208936,   0.0962490588,   0.1504273862,   0.1272599548,   0.1374879181,   0.1264607459,   0.0821291804
   0.1247227639,   0.1357183009,   0.1251842082,   0.0807004720,   0.1551749408,   0.2011330426,   0.1377099156,   0.1014322490,   0.0940309390,   0.1514350921,   0.1246434003,   0.1356740147,   0.1251673698,   0.0807031095
   0.1234590486,   0.1344786137,   0.1238189712,   0.0740131512,   0.1605555713,   0.2059827447,   0.1399868131,   0.0993559882,   0.0922623351,   0.1521621794,   0.1233825758,   0.1344354600,   0.1238017306,   0.0740136430
   0.1201118976,   0.1327453405,   0.1226072907,   0.0736423880,   0.1605400294,   0.2066896707,   0.1418617666,   0.0976955444,   0.0907957330,   0.1527019590,   0.1200319529,   0.1327013224,   0.1225895584,   0.0736430585
   0.1172164530,   0.1306160837,   0.1212663949,   0.0737036169,   0.1608479321,   0.2071309835,   0.1426093727,   0.0962844267,   0.0895432830,   0.1531102359,   0.1171343476,   0.1305703074,   0.1212478578,   0.0737046748
   0.1160467416,   0.1294143051,   0.1200903356,   0.0737946481,   0.1611569375,   0.2074765563,   0.1429503709,   0.0950360447,   0.0884490162,   0.1534161717,   0.1159650832,   0.1293678433,   0.1200705022,   0.0737959743
   0.1152525395,   0.1286658645,   0.1192972958,   0.0738887563,   0.1614401788,   0.2077653557,   0.1431542933,   0.0939201042,   0.0874780193,   0.1536503583,   0.1151711196,   0.1286191046,   0.1192765683,   0.0738902763
   0.1125494838,   0.1274884343,   0.1186765432,   0.0739754066,   0.1616915911,   0.2080137134,   0.1433063298,   0.0929130763,   0.0866034254,   0.1538301557,   0.1124642640,   0.1274408102,   0.1186558455,   0.0739772245
   0.1119089723,   0.1265775710,   0.1179651991,   0.0740318820,   0.1618666798,   0.2081895620,   0.1434086412,   0.0919919908,   0.0858048350,   0.1539611369,   0.1118243635,   0.1265292019,   0.1179437712,   0.0740338787
   0.1116092578,   0.1260535121,   0.1174378172,   0.0740766674,   0.1620032787,   0.2083253264,   0.1434818506,   0.0911600068,   0.0850940049,   0.1540638655,   0.1115254089,   0.1260048747,   0.1174157485,   0.0740787983
   0.1091642305,   0.1249848008,   0.1169525683,   0.0741017461,   0.1620859206,   0.2084067911,   0.1435130984,   0.0903781578,   0.0844082162,   0.1541271359,   0.1090768203,   0.1249352396,   0.1169306487,   0.0741041005
   0.1109020561,   0.1253375560,   0.1166727021,   0.0741265640,   0.1621576995,   0.2084732205,   0.1435288191,   0.0896561667,   0.0837676451,   0.1541681290,   0.1108187437,   0.1252886504,   0.1166498438,   0.0741288736
   0.1105569601,   0.1251128763,   0.1165634319,   0.0741450191,   0.1622081846,   0.2085185647,   0.1435309500,   0.0889848843,   0.0831662044,   0.1541883051,   0.1104734540,   0.1250638515,   0.1165406182,   0.0741474032
   0.1075744331,   0.1240472719,   0.1162971631,   0.0741479248,   0.1622231007,   0.2085305452,   0.1435103714,   0.0883546546,   0.0825944394,   0.1541879326,   0.1074858159,   0.1239972934,   0.1162750199,   0.0741505176
   0.1130060777,   0.1247473955,   0.1159906313,   0.0741376579,   0.1622029096,   0.2085096389,   0.1434690058,   0.0877737850,   0.0820757076,   0.1541785002,   0.1129292026,   0.1246979237,   0.1159665957,   0.0741400123
   0.1195309013,   0.1268211901,   0.1163076535,   0.0741278976,   0.1621652991,   0.2084655017,   0.1434047371,   0.0872294754,   0.0815850049,   0.1541569233,   0.1194656640,   0.1267739832,   0.1162820831,   0.0741298199
   0.1117810160,   0.1261401027,   0.1168311909,   0.0741283968,   0.1621450037,   0.2084321380,   0.1433376074,   0.0867175162,   0.0811159313,   0.1541258693,   0.1116996706,   0.1260931045,   0.1168086305,   0.0741306171
   0.1122031286,   0.1260516346,   0.1168890372,   0.0741311759,   0.1621419638,   0.2084180415,   0.1432859302,   0.0862348378,   0.0806627721,   0.1540877521,   0.1121228561,   0.1260043681,   0.1168666109,   0.0741333961
   0.1114279479,   0.1256220192,   0.1168218926,   0.0741235390,   0.1621198207,   0.2083907872,   0.1432351768,   0.0857765302,   0.0802244693,   0.1540405750,   0.1113466471,   0.1255743951,   0.1167997345,   0.0741258338
