"","swc.1.","swc.2.","swc.3.","swc.4.","swc.5.","swc.6.","swc.7.","swc.8.","swc.9.","swc.10.","duplicate_swc.1.","duplicate_swc.2.","duplicate_swc.3.","duplicate_swc.4.","time"
"1",0.1284144521,0.1403594464,0.1313247085,0.0944950059,0.1422497034,0.1826444864,0.1275565177,0.1189704463,0.1109241173,0.1425476223,0.1284144521,0.1403594464,0.1313247085,0.0944950059,2018-01-01
"2",0.127851218,0.1388234496,0.1286518872,0.0875815302,0.1471238583,0.1922257245,0.1321887821,0.1122193858,0.103794381,0.1470305324,0.127851218,0.1388234496,0.1286518872,0.0875815302,2018-01-02
"3",0.1278104484,0.1377040148,0.1268247664,0.0841706097,0.150872767,0.1965857893,0.1349226236,0.1078134105,0.0996669754,0.149545595,0.1278104484,0.1377040148,0.1268247664,0.0841706097,2018-01-03
"4",0.1246525124,0.135746941,0.1253685951,0.0820668116,0.1534942389,0.1994023621,0.1367435604,0.1046135053,0.0968619883,0.1512131393,0.1246525124,0.135746941,0.1253685951,0.0820668116,2018-01-04
"5",0.1215471625,0.1336235702,0.1238557324,0.0805941075,0.1554196775,0.2014240772,0.1381102353,0.1021430418,0.0947844833,0.1524253488,0.1215471625,0.1336235702,0.1238557324,0.0805941075,2018-01-05
"6",0.1198042855,0.1320215464,0.1221781299,0.0738994852,0.1606458127,0.2063322216,0.1406767964,0.1001952067,0.0931598395,0.1533577144,0.1198042855,0.1320215464,0.1221781299,0.0738994852,2018-01-06
"7",0.1159921661,0.1299954653,0.1207304075,0.0736806616,0.1607450247,0.2069844455,0.1424050033,0.0986579955,0.0918415338,0.1541041583,0.1159921661,0.1299954653,0.1207304075,0.0736806616,2018-01-07
"8",0.112566717,0.1275876015,0.1192285269,0.0737733096,0.1611250043,0.2074789405,0.1431253403,0.0973626226,0.0907423273,0.1547206491,0.112566717,0.1275876015,0.1192285269,0.0737733096,2018-01-08
"9",0.1109079197,0.1260456592,0.1178689823,0.0738805979,0.1614801884,0.2078681737,0.143488422,0.0962264165,0.0898050219,0.1552359313,0.1109079197,0.1260456592,0.1178689823,0.0738805979,2018-01-09
"10",0.1096388698,0.1249588579,0.1168775409,0.0739852786,0.161798507,0.2081943005,0.1437268555,0.0952198207,0.0889935791,0.1556802839,0.1096388698,0.1249588579,0.1168775409,0.0739852786,2018-01-10
"11",0.106521897,0.1235589087,0.1160939932,0.0740805492,0.1620794386,0.2084755301,0.1439145952,0.0943205431,0.0882817283,0.1560707241,0.106521897,0.1235589087,0.1160939932,0.0740805492,2018-01-11
"12",0.1053922698,0.1223536655,0.1152582318,0.0741444081,0.1622805297,0.2086808681,0.1440506428,0.0935056135,0.0876491144,0.1564128995,0.1053922698,0.1223536655,0.1152582318,0.0741444081,2018-01-12
