time,Var1,m,water_free,runoff,water_leach,waterF_1_,waterF_2_,waterF_3_,waterF_4_,waterF_5_,waterF_6_,waterF_7_,waterF_8_,waterF_9_,wpotent_1_,wpotent_2_,wpotent_3_,wpotent_4_,wpotent_5_,wpotent_6_,wpotent_7_,wpotent_8_,wpotent_9_,wpotent_10_
01-Jan-2017,12.5,12.5,0,0,0,-0.0001175552875,-0.000134253458333333,-0.000143001629166667,-0.000134976841666667,-9.65425875e-05,-5.09615e-05,-6.11477916666667e-06,0,0,-491.776396433517,-446.357341766358,-390.659542083742,-269.534348805754,-248.880432128908,-228.598323822025,-207.983894983929,-181.548379898075,-20.7470054626,-75.8625319798875
02-Jan-2017,36.5,36.5,0,0,0,-0.0001283466625,-0.000133480745833333,-0.000142196554166667,-0.000136060554166667,-9.70677916666667e-05,-5.0490325e-05,-6.19491666666667e-06,0,0,-494.739498138425,-446.175020853683,-390.690245310458,-269.677148183179,-249.015804290779,-228.731241861971,-208.120308558146,-181.592259724937,-20.7470054626,-75.862681388875
03-Jan-2017,60.5,60.5,0,0,0,-0.000134159775,-0.000133645708333333,-0.000141475904166667,-0.000134766016666667,-9.67251041666666e-05,-5.03072333333333e-05,-6.27345833333333e-06,0,0,-496.661295572917,-446.288542429608,-390.728139241542,-269.808341979979,-249.151140848792,-228.866655985508,-208.255779902133,-181.636566162108,-20.7470054626,-75.8628288904708
04-Jan-2017,84.5,84.5,0,0,0,0.00134041612083333,-0.000101801341666667,-0.000140606454166667,-0.000133300108333333,-9.49852416666667e-05,-4.96856708333333e-05,-6.34880833333333e-06,0,0,-408.359105428063,-436.473014831546,-390.607215881354,-269.923736572262,-249.271755854287,-228.991532643637,-208.386137644454,-181.679238637296,-20.7470054626,-75.8629299799625
05-Jan-2017,108.5,108.5,0,0,0,0.00158303799583333,4.7886175e-05,-0.000136844966666667,-0.000130440354166667,-9.39667541666667e-05,-4.93476041666667e-05,-6.42294583333333e-06,0,0,-328.216374715167,-393.767917633058,-388.610919952388,-270.038410186775,-249.39846165975,-229.120385487879,-208.517053604121,-181.723285039267,-20.7470054626,-75.8630526860916
06-Jan-2017,132.5,132.5,0.67529510955,0,0,0.0370778454375,0.0163940536333333,0.000559603508333333,-2.29945875e-05,-7.95750833333334e-05,-4.78940041666667e-05,-6.49159583333333e-06,0,0,-242.346725463863,-284.285871505738,-327.941982905075,-269.574040730796,-249.460584004717,-229.224519093821,-208.637123743688,-181.762934366858,-20.7470054626,-75.8630704879791
07-Jan-2017,156.5,156.5,0,0,0,0.0036744858125,0.006602874825,0.00442105978333333,0.00186072175833333,0.000417825179166667,-1.24341291666667e-05,-6.52852916666667e-06,0,0,-211.8810710907,-212.979891459142,-222.171082178754,-258.932109196983,-247.653595606483,-228.878906885783,-208.7261098226,-181.804591496792,-20.7470054626,-75.8631197611333
08-Jan-2017,180.5,180.5,0,0,0,0.00181693659583333,0.002877279275,0.00369816876666667,0.00288492335416667,0.00121659702916667,0.000134279804166667,-6.32309166666667e-06,0,0,-224.70878601075,-222.913583755488,-223.324097315471,-251.170892079675,-243.504174550371,-226.920284907025,-208.56315549215,-181.850642522171,-20.7470054626,-75.8632767995208
09-Jan-2017,204.5,204.5,0,0,0,0.000915710275,0.00207114804166667,0.00298151644166667,0.00275311595416667,0.00151332100416667,0.000314427004166667,-5.6692e-06,0,0,-233.433842341108,-227.712650299075,-227.1515305837,-249.334545771279,-240.160743713371,-224.139229456592,-207.924904505413,-181.8983669281,-20.7470054626,-75.8635222117125
10-Jan-2017,228.5,228.5,0,0,0,0.000410791520833333,0.00152427654583333,0.00233493373333333,0.00233654407916667,0.00148739785416667,0.000452273291666667,-4.61015e-06,0,0,-241.562510172521,-233.290883382162,-232.0944779714,-249.220598220825,-237.881618499763,-221.549491882329,-206.846867243437,-181.940253575654,-20.7470054626,-75.8637564976958
11-Jan-2017,252.5,252.5,0,0,0,-0.000264422233333333,0.000992582654166666,0.00183549215416667,0.00189649479166667,0.00132563814583333,0.0005288816625,-3.30639166666667e-06,0,0,-252.213198343908,-240.643411636354,-237.070957183829,-249.653173446658,-236.414483388267,-219.519090016671,-205.500771840408,-181.977970759067,-20.7470054626,-75.86405563355
