 NEE,GPP,Reco,FoliageC
     0.27870694,     0.00000000,     0.27870694,   0.7403596640
     0.18174757,     0.00000000,     0.18174757,   0.6268855929
     0.14943881,     0.00000000,     0.14943881,   0.5300352573
     0.14878817,     0.00000000,     0.14878817,   0.4536025822
     0.19287534,     0.00000000,     0.19287534,   0.4177887738
     0.18001629,     0.00000000,     0.18001629,   0.3729503155
     0.15618883,     0.00000000,     0.15618883,   0.3156420290
     0.14755861,     0.00000000,     0.14755861,   0.2726219594
     0.15571441,     0.00000000,     0.15571441,   0.2381439954
     0.16003458,     0.00000000,     0.16003458,   0.2080321014
     0.20581023,     0.00000000,     0.20581023,   0.1973065585
     0.24567309,     0.00000000,     0.24567309,   0.1906854212
     0.24919906,     0.00000000,     0.24919906,   0.1841959059
     0.20129505,     0.00000000,     0.20129505,   0.1700841635
     0.13519828,     0.00000000,     0.13519828,   0.1411008984
     0.12550829,     0.00000000,     0.12550829,   0.1161973625
     0.12596831,     0.00000000,     0.12596831,   0.0968535468
     0.12484477,     0.00000000,     0.12484477,   0.0800520405
     0.12553689,     0.00000000,     0.12553689,   0.0642774701
     0.12416446,     0.00000000,     0.12416446,   0.0505741723
     0.13274343,     0.00000000,     0.13274343,   0.0403278694
     0.12797837,     0.00000000,     0.12797837,   0.0309525039
     0.12157752,     0.00000000,     0.12157752,   0.0215870310
     0.12576249,     0.00000000,     0.12576249,   0.0142732728
     0.13256618,     0.00000000,     0.13256618,   0.0083870068
     0.13102573,     0.00000000,     0.13102573,   0.0031316073
     0.13007024,     0.00000000,     0.13007024,   0.0000551010
     0.12577593,     0.00000000,     0.12577593,   0.0000000000
     0.12493348,     0.00000000,     0.12493348,   0.0000000000
     0.12295388,     0.00000000,     0.12295388,   0.0000000000
     0.14484672,     0.00000000,     0.14484672,   0.0000000000
     0.13623504,     0.00000000,     0.13623504,   0.0000000000
     0.12139916,     0.00000000,     0.12139916,   0.0000000000
     0.11775528,     0.00000000,     0.11775528,   0.0000000000
     0.11938819,     0.00000000,     0.11938819,   0.0000000000
     0.12077548,     0.00000000,     0.12077548,   0.0000000000
     0.11715072,     0.00000000,     0.11715072,   0.0000000000
     0.12979917,     0.00000000,     0.12979917,   0.0000000000
     0.13276719,     0.00000000,     0.13276719,   0.0000000000
     0.16563331,     0.00000000,     0.16563331,   0.0000000000
     0.19395390,     0.00000000,     0.19395390,   0.0000000000
     0.19218683,     0.00000000,     0.19218683,   0.0000000000
     0.19355468,     0.00000000,     0.19355468,   0.0000000000
     0.15255456,     0.00000000,     0.15255456,   0.0000000000
     0.13334396,     0.00000000,     0.13334396,   0.0000000000
     0.11631051,     0.00000000,     0.11631051,   0.0000000000
     0.11410720,     0.00000000,     0.11410720,   0.0000000000
     0.15248232,     0.00000000,     0.15248232,   0.0000000000
     0.15188466,     0.00000000,     0.15188466,   0.0000000000
     0.17451403,     0.00000000,     0.17451403,   0.0000000000
     0.17553128,     0.00000000,     0.17553128,   0.0000000000
     0.12628683,     0.00000000,     0.12628683,   0.0000000000
     0.14418231,     0.00000000,     0.14418231,   0.0000000000
     0.19084734,     0.00000000,     0.19084734,   0.0000000000
     0.15664573,     0.00000000,     0.15664573,   0.0000000000
     0.12248691,     0.00000000,     0.12248691,   0.0000000000
     0.17738785,     0.00000000,     0.17738785,   0.0000000000
    -0.14188525,     0.38384241,     0.24195711,   0.0940204859
    -0.03590460,     0.26006374,     0.22415914,   0.2522603869
    -0.01019671,     0.17861533,     0.16841863,   0.3247612417
    -0.04630627,     0.18383376,     0.13752748,   0.3784004450
    -0.01501430,     0.13199933,     0.11698502,   0.4096208811
    -0.09698200,     0.21278897,     0.11580697,   0.4399442971
    -0.13099056,     0.25409326,     0.12310269,   0.5100395679
    -0.20916221,     0.34889689,     0.13973461,   0.6243280172
    -0.17828585,     0.37683818,     0.19855231,   0.7916088700
    -0.11982691,     0.33277652,     0.21294962,   0.9566736817
    -0.15399067,     0.38066244,     0.22667177,   1.0987814665
    -0.10546249,     0.33891159,     0.23344912,   1.2634030581
    -0.07772548,     0.29917610,     0.22145055,   1.3952785730
    -0.11268727,     0.33361405,     0.22092678,   1.4850437641
    -0.11386274,     0.36513785,     0.25127515,   1.6268702745
    -0.11822005,     0.40034071,     0.28212070,   1.7982020378
    -0.10391641,     0.40505317,     0.30113676,   1.9762059450
    -0.07175867,     0.34633431,     0.27457571,   2.1209087372
    -0.08184713,     0.37091750,     0.28907040,   2.2657446861
    -0.04141117,     0.37130928,     0.32989812,   2.4252007008
    -0.07292561,     0.38533694,     0.31241140,   2.5806558132
    -0.05954606,     0.35726684,     0.29772079,   2.7278211117
    -0.05406627,     0.34432966,     0.29026335,   2.8720748425
    -0.00545687,     0.26627889,     0.26082203,   2.9891743660
    -0.03084955,     0.27104059,     0.24019101,   3.0911009312
    -0.02937328,     0.25811446,     0.22874115,   3.1869330406
    -0.11014528,     0.36314315,     0.25299785,   3.2991895676
    -0.12527201,     0.39965004,     0.27437806,   3.4522881508
    -0.14571904,     0.45262408,     0.30690509,   3.6272926331
    -0.00587896,     0.27614954,     0.27027062,   3.7689101696
    -0.03596610,     0.24101463,     0.20504853,   3.7610085011
    -0.00659300,     0.19363180,     0.18703881,   3.8035607338
    -0.14731680,     0.35624456,     0.20892780,   3.6651449203
    -0.20166352,     0.46216044,     0.26049694,   3.7789072990
    -0.19660555,     0.50236976,     0.30576423,   3.9746236801
    -0.21226409,     0.53113389,     0.31886986,   4.1872935295
    -0.20666616,     0.52772498,     0.32105878,   4.4021086693
    -0.23108867,     0.56173861,     0.33064991,   4.6260633469
    -0.16585873,     0.46068493,     0.29482621,   4.8343758583
    -0.07259879,     0.27948144,     0.20688266,   4.8997435570
    -0.19050722,     0.45076260,     0.26025540,   5.0255680084
    -0.14590827,     0.40727985,     0.26137158,   5.1825489998
    -0.34417626,     0.65158141,     0.30740517,   5.3893165588
    -0.12162869,     0.36196125,     0.24033251,   5.4746036530
    -0.25407586,     0.50134474,     0.24726887,   5.5237107277
     0.00614495,     0.17695017,     0.18309511,   5.6143379211
    -0.21357296,     0.42199558,     0.20842262,   5.5470900536
    -0.38182819,     0.67692178,     0.29509360,   5.7331795692
    -0.36937949,     0.70679092,     0.33741140,   6.0187020302
    -0.33349895,     0.61928153,     0.28578258,   6.2214169502
    -0.44123891,     0.77087754,     0.32963866,   6.4900383949
    -0.36570519,     0.70317954,     0.33747438,   6.7753906250
    -0.46738273,     0.83167857,     0.36429596,   7.0882434845
    -0.36627671,     0.72629464,     0.36001787,   7.3980360031
    -0.46361175,     0.78088349,     0.31727180,   7.6020894051
    -0.53831393,     0.90066236,     0.36234841,   7.9257106781
    -0.30071750,     0.56959414,     0.26887658,   8.1872463226
    -0.57940578,     0.90547562,     0.32606977,   8.4388694763
    -0.51246756,     0.86021435,     0.34774664,   8.7896070480
    -0.61929524,     1.01498413,     0.39568883,   9.1462984085
    -0.60299689,     1.03236520,     0.42936811,   9.5551214218
    -0.59805989,     0.97240436,     0.37434450,   9.9293289185
    -0.77763242,     1.20635962,     0.42872715,  10.3713140488
    -0.70308828,     1.14441621,     0.44132793,  10.8559398651
    -0.98989475,     1.53460336,     0.54470849,  11.4050064087
    -1.29201055,     1.88561475,     0.59360415,  12.1599836349
    -1.30327380,     1.93313920,     0.62986559,  13.0000944138
    -0.68216312,     1.13113856,     0.44897541,  13.6204175949
    -0.90705925,     1.31898749,     0.41192821,  14.0886926651
    -1.37149453,     1.84829974,     0.47680503,  14.6305656433
    -1.03351235,     1.51275587,     0.47924334,  15.3200502396
    -1.68080688,     2.26381469,     0.58300769,  16.0864982605
    -1.71820211,     2.34360886,     0.62540674,  17.0975131989
    -1.70829940,     2.39059925,     0.68230015,  18.0981960297
    -1.41967368,     2.05209279,     0.63241899,  19.0241909027
    -1.56245363,     2.21440315,     0.65194941,  19.8595085144
    -1.59569371,     2.21131277,     0.61561888,  20.7208118439
    -1.74242306,     2.33950400,     0.59708089,  21.5876235962
    -1.87455761,     2.47809005,     0.60353267,  22.4855957031
    -2.02932811,     2.65930200,     0.62997419,  23.4428329468
    -2.78294659,     3.54907250,     0.76612622,  24.8306522369
    -2.98494244,     3.80945683,     0.82451433,  26.3600025177
