 yr,GPP_yr,NPP_yr,NEE_yr,Resp_eco_yr,Resp_auto_yr,    Resp_hetero_yr,NPP_L_yr,NPP_R_yr,LAI_yr
    2007,     401.966003,     351.615051,    -198.391922,     203.574219,      40.196663,     163.377289,     160.072357,     191.543777,       0.542352
    2008,      25.257433,      21.581192,     133.525391,     158.783127,       2.525743,     156.256927,      11.343442,      10.237740,       0.055031
    2009,      45.155933,      39.533802,      14.269241,      59.425137,       4.515587,      54.909523,      20.598713,      18.934978,       0.074135
    2010,      76.564941,      67.106201,     -22.592199,      53.972870,       7.656514,      46.316383,      34.733757,      32.372292,       0.114021
    2011,      16.248985,      14.080216,      23.708559,      39.957561,       1.624902,      38.332668,       7.182013,       6.898191,       0.049997
    2012,      45.645061,      39.990467,     -11.389749,      34.255310,       4.564517,      29.690769,      20.757484,      19.232946,       0.078621
    2013,      39.438641,      34.564468,      -3.489078,      35.949596,       3.943871,      32.005768,      18.294903,      16.269535,       0.067741
    2014,      42.316612,      37.053402,      -4.983995,      37.332653,       4.231665,      33.100929,      19.522026,      17.531315,       0.067441
    2015,     128.121994,     112.359230,     -60.598747,      67.523781,      12.812226,      54.711456,      57.021854,      55.337414,       0.183455
    2016,      51.312286,      44.779663,      19.757408,      71.069786,       5.131223,      65.938454,      23.246702,      21.532949,       0.081945
    2017,     122.356407,     107.356873,     -51.077541,      71.278885,      12.235641,      59.043320,      55.310955,      52.045685,       0.172404
    2018,      39.598312,      34.470806,      28.401222,      67.999420,       3.959833,      64.039558,      18.084358,      16.386238,       0.065452
    2019,      96.856270,      84.890968,     -38.443443,      58.412991,       9.685642,      48.727295,      43.340904,      41.549862,       0.142515
    2020,      46.285881,      40.404789,      10.434237,      56.720211,       4.628593,      52.091553,      20.902367,      19.502371,       0.079933
