 swc(1),swc(2),swc(3),swc(4),swc(5),swc(6),swc(7),swc(8),swc(9),swc(10)
   0.2315596491,   0.1645108461,   0.1342771351,   0.1914321482,   0.2418540865,   0.1379154325,   0.1666837037,   0.2543690801,   0.2476815879,   0.2897605002
   0.2226196229,   0.1638245434,   0.1344659179,   0.1819202900,   0.2281341553,   0.1611462533,   0.1575933695,   0.2449490726,   0.2485070974,   0.3026134968
   0.2150729746,   0.1626850814,   0.1345800012,   0.1741889417,   0.2171767503,   0.1801535338,   0.1501376480,   0.2367288023,   0.2475131899,   0.3151330650
   0.2053078413,   0.1612175405,   0.1346046627,   0.1677612513,   0.2081241161,   0.1961529851,   0.1438684613,   0.2294925451,   0.2454299182,   0.3270083964
   0.2005612701,   0.1595820487,   0.1345353425,   0.1623216420,   0.2004657537,   0.2099091858,   0.1384953856,   0.2230565846,   0.2427374721,   0.3380984068
   0.1965447664,   0.1579417735,   0.1343858391,   0.1576542109,   0.1938784420,   0.2219409794,   0.1338225305,   0.2172915488,   0.2397416532,   0.3483793437
   0.1929299533,   0.1563081741,   0.1341586858,   0.1535962373,   0.1881232262,   0.2326022387,   0.1297046244,   0.2120769471,   0.2366077900,   0.3578440547
   0.1896585226,   0.1547009796,   0.1338630468,   0.1500302404,   0.1830372363,   0.2421529144,   0.1260377616,   0.2073283345,   0.2334438860,   0.3665302694
   0.1834448129,   0.1530984342,   0.1335104704,   0.1468688101,   0.1785038561,   0.2507469654,   0.1227885187,   0.2029832751,   0.2303206027,   0.3744985163
   0.1776375622,   0.1514880955,   0.1331046224,   0.1440415233,   0.1744273901,   0.2582487464,   0.1201688796,   0.1989922822,   0.2272716165,   0.3817974925
   0.1744452119,   0.1499055475,   0.1326482594,   0.1414917707,   0.1707314849,   0.2648490667,   0.1180385947,   0.1953160018,   0.2243129164,   0.3884694278
   0.1721575409,   0.1483825892,   0.1321538985,   0.1391789913,   0.1673666686,   0.2707430720,   0.1162598431,   0.1919291317,   0.2214666009,   0.3945835233
   0.1701983809,   0.1469178200,   0.1316255629,   0.1370666623,   0.1642833948,   0.2760599554,   0.1147422716,   0.1887960732,   0.2187331915,   0.4001796246
   0.1681372076,   0.1455176771,   0.1310764849,   0.1351299435,   0.1614534408,   0.2809049487,   0.1134288162,   0.1858996600,   0.2161263525,   0.4053283930
   0.1657741070,   0.1441698819,   0.1305087060,   0.1333437115,   0.1588410884,   0.2853497267,   0.1122753471,   0.1832101494,   0.2136383057,   0.4100615680
   0.1633316278,   0.1428662091,   0.1299225539,   0.1316864789,   0.1564157307,   0.2894933820,   0.1112035215,   0.1806998104,   0.2112584710,   0.4144026041
   0.1608622223,   0.1416056156,   0.1293225437,   0.1301424950,   0.1541570723,   0.2933982015,   0.1101775840,   0.1783496737,   0.2089838982,   0.4183875322
   0.1592031419,   0.1403805912,   0.1287133843,   0.1286987364,   0.1520484388,   0.2970890105,   0.1091969088,   0.1761441529,   0.2068117857,   0.4220518172
   0.1581127346,   0.1391889155,   0.1280978620,   0.1273437291,   0.1500744522,   0.3005854487,   0.1082605049,   0.1740687639,   0.2047368586,   0.4254237711
   0.1573960334,   0.1380355507,   0.1274773926,   0.1260672212,   0.1482203603,   0.3039031327,   0.1073670983,   0.1721096188,   0.2027520686,   0.4285249412
   0.1556773335,   0.1369031817,   0.1268508136,   0.1248591840,   0.1464706361,   0.3070516586,   0.1065144390,   0.1702514291,   0.2008466721,   0.4313644767
   0.1550441086,   0.1358008236,   0.1262233704,   0.1237141564,   0.1448197067,   0.3100482225,   0.1057033688,   0.1684903353,   0.1990219653,   0.4339760840
   0.1526110917,   0.1347068548,   0.1255933195,   0.1226242781,   0.1432548463,   0.3128990233,   0.1049318686,   0.1668137610,   0.1972676516,   0.4363653958
   0.1497057229,   0.1335898638,   0.1249610484,   0.1215841174,   0.1417684257,   0.3156129420,   0.1041993275,   0.1652149558,   0.1955793649,   0.4385481477
   0.1455607861,   0.1324314028,   0.1243279651,   0.1205895245,   0.1403552294,   0.3182003200,   0.1035057977,   0.1636897922,   0.1939556152,   0.4405445457
   0.1439063251,   0.1312613636,   0.1236975119,   0.1196382195,   0.1390134543,   0.3206738830,   0.1028521582,   0.1622381657,   0.1923987120,   0.4423837066
   0.1409061104,   0.1300836802,   0.1230650097,   0.1187237874,   0.1377312094,   0.3230322897,   0.1022357568,   0.1608476192,   0.1908960342,   0.4440559149
   0.1362043917,   0.1288546473,   0.1224299371,   0.1178425625,   0.1365030557,   0.3252799213,   0.1016558930,   0.1595131010,   0.1894431710,   0.4455693066
   0.1343211830,   0.1276030093,   0.1217938662,   0.1169925779,   0.1353270561,   0.3274248242,   0.1011135355,   0.1582334191,   0.1880406737,   0.4469425380
   0.1333352625,   0.1263842881,   0.1211618558,   0.1161731929,   0.1342038214,   0.3294780850,   0.1006096825,   0.1570105255,   0.1866924614,   0.4482023418
   0.1333472580,   0.1252186447,   0.1205293760,   0.1153793037,   0.1331229508,   0.3314349949,   0.1001414284,   0.1558335125,   0.1853860468,   0.4493326843
   0.1336292773,   0.1241175234,   0.1198991686,   0.1146094054,   0.1320825666,   0.3333005011,   0.0997085422,   0.1547012925,   0.1841209084,   0.4503457844
   0.1327988207,   0.1230618358,   0.1192731708,   0.1138619632,   0.1310805529,   0.3350792527,   0.0993105322,   0.1536123008,   0.1828957647,   0.4512515664
   0.1310176849,   0.1220234111,   0.1186506748,   0.1131348237,   0.1301126927,   0.3367720246,   0.0989461094,   0.1525624394,   0.1817062795,   0.4520500898
   0.1291620284,   0.1209845468,   0.1180295646,   0.1124254093,   0.1291739643,   0.3383779228,   0.0986135304,   0.1515466720,   0.1805466413,   0.4527372718
   0.1273244321,   0.1199520007,   0.1174147278,   0.1117347106,   0.1282675564,   0.3399073780,   0.0983138904,   0.1505696923,   0.1794230044,   0.4533393979
   0.1219333038,   0.1188701093,   0.1168038622,   0.1110605896,   0.1273891032,   0.3413595259,   0.0980454385,   0.1496269703,   0.1783301979,   0.4538522661
   0.1179535761,   0.1177615523,   0.1161954403,   0.1104016826,   0.1265361160,   0.3427355886,   0.0978069454,   0.1487160772,   0.1772656143,   0.4542775750
   0.1142358705,   0.1166885793,   0.1155895293,   0.1097568423,   0.1257066578,   0.3440374732,   0.0975972563,   0.1478351504,   0.1762273759,   0.4546183348
   0.1118628532,   0.1156647056,   0.1149912328,   0.1091271937,   0.1249038726,   0.3452747464,   0.0974170715,   0.1469887942,   0.1752212495,   0.4548981190
   0.1088564545,   0.1146824360,   0.1143972948,   0.1085102633,   0.1241220012,   0.3464432359,   0.0972637832,   0.1461704820,   0.1742396355,   0.4551036358
   0.1069074944,   0.1137468368,   0.1138164997,   0.1079092100,   0.1233687773,   0.3475595713,   0.0971397385,   0.1453901678,   0.1732947379,   0.4552767873
