 yr,transp_yr,evap_yr,runoff_yr,water_leach_yr,swater_slw_yr,swater_slw_gs,    waterF1,waterF2,waterF3,waterF4,waterF5
    2007, 239.4011383057, 126.4737625122,   4.8072400093,  49.7465209961,   0.2187842876,   0.1897267252,  40.5438842773,  21.1775608063,  15.1418104172,  34.4004592896,  59.6039047241
    2008,  16.2333393097, 188.5363464355,  27.0599613190,   0.0000000000,   0.1210924387,   0.1216174364,  47.3976974487,  48.6645202637,  43.8215370178,  34.3901786804,  21.2479915619
    2009,  29.6043930054, 181.9091339111,  13.1060266495,   0.0000000000,   0.1565182060,   0.1422249526,  57.6091842651,  48.6117782593,  37.7860488892,  31.2971668243,  25.6806125641
    2010,  57.2323799133, 153.7505645752,   8.0741758347,   0.0000000000,   0.1691521555,   0.1509840339,  36.8134880066,  38.1144561768,  40.6861381531,  46.1060409546,  48.4483489990
    2011,  14.6198663712,  98.4391937256,   5.1267952919,   0.0000000000,   0.0975054726,   0.0836242363,  25.2579250336,  13.3158340454,   7.3525075912,   8.3147916794,   9.0527715683
    2012,  39.6712951660, 152.2608032227,   4.3519015312,   0.0000000000,   0.1352082640,   0.1298641562,  23.1776161194,  28.3137283325,  29.5110778809,  27.2119960785,  21.6511707306
    2013,  29.8539142609, 200.8956909180,  28.1580429077,   0.0000000000,   0.1511563212,   0.1588667929,  52.0327873230,  45.9053573608,  38.1295394897,  33.1400299072,  26.0729370117
    2014,  31.1164379120, 186.8285064697,  14.2156515121,   0.0000000000,   0.1605407894,   0.1583426297,  44.0880432129,  40.7578277588,  36.7318916321,  34.8324012756,  31.7862014771
    2015,  89.9483413696, 188.7405242920,  17.0573863983,   0.0000000000,   0.1839926988,   0.1486563832,  69.5727996826,  54.3916320801,  38.3728866577,  30.7356796265,  24.8432807922
    2016,  40.3354072571, 147.6315155029,   6.4846363068,   0.0000000000,   0.1642292440,   0.1320435405,  39.8938407898,  40.2391204834,  42.7725868225,  46.8003044128,  46.9136352539
    2017,  96.0009231567, 184.1888122559,  18.6932048798,   0.0000000000,   0.1792817414,   0.1716063023,  60.9381065369,  58.7019081116,  51.2780456543,  47.1142997742,  37.3372497559
    2018,  31.1770706177, 194.1774597168,  12.8743124008,   0.0000000000,   0.1543839872,   0.1467000395,  49.7251930237,  42.9762306213,  36.8267440796,  33.2482872009,  27.8025684357
    2019,  73.0758438110, 173.5694122314,   9.7995586395,   0.0000000000,   0.1708299965,   0.1401423365,  57.7088546753,  44.5628585815,  30.9385547638,  27.1889495850,  27.4607238770
    2020,  38.2351341248, 124.8520584106,   4.9848580360,   0.0000000000,   0.1366046667,   0.1048204228,  23.1445426941,  26.4423542023,  33.5643692017,  38.6092453003,  35.1167411804
