Note: Compiled by EH 2018_11,,,,,,,
Order,Variable,Value,Likely range,Unit,Variable explaination,Reference,Note
1,tauL(1),0.1,,unitless,Leaf transimttance for vis,,
2,rhoL(1),0.1,,unitless,Leaf reflectance for vis,,
3,rhos(1),0.1,,unitless,Soil reflectance for vis,,
4,tauL(2),0.425,,unitless,Leaf transimttance for NIR,,
5,rhoL(2),0.425,,unitless,Leaf reflectance for NIR,,
6,rhos(2),0.3,,unitless,Soil reflectance for NIR,,
7,tauL(3),0,,unitless,Leaf transimttance for thermal,,
8,rhoL(3),0,,unitless,Leaf reflectance for thermal,,
9,rhos(3),0,,unitless,Soil reflectance for thermal,,
10,emleaf,0.96,,unitless,Leaf emissitivity coefficient,According to https://www.thermoworks.com/emissivity_table,
11,emsoil,0.94,,unitless,Soil emissivity coefficient,According to https://www.thermoworks.com/emissivity_table,
12,wleaf,1.00E-02,,m,Leaf width,,
13,gsc0,4.00E-02,0.01-0.16,umol/m2/s,Intercept of the Ball-Berry model,(Leuning 1995),
