"day","NEE","Date"
6,0.0733090608,2010-01-06
8,0.2804941656,2010-01-08
12,0.13630367016,2010-01-12
13,0.02552253408,2010-01-13
14,0.080999892,2010-01-14
15,0.10397136672,2010-01-15
17,0.056760372,2010-01-17
24,0.2389777776,2010-01-24
29,0.2440429776,2010-01-29
30,0.0812329236,2010-01-30
46,0.03005141688,2010-02-15
47,-0.0552003336,2010-02-16
76,-0.1448021232,2010-03-17
87,-0.29384248392,2010-03-28
88,-0.2996825904,2010-03-29
89,-0.25732858248,2010-03-30
91,-0.13648559184,2010-04-01
95,-0.4685782392,2010-04-05
97,-0.566727319008,2010-04-07
101,-0.58311373392,2010-04-11
103,-0.71731402848,2010-04-13
110,-0.85498416,2010-04-20
111,-0.990803664,2010-04-21
118,-1.11865908384,2010-04-28
119,-0.91704528,2010-04-29
121,-0.941176368,2010-05-01
127,-1.5288274584,2010-05-07
128,-1.5100455672,2010-05-08
129,-1.863254232,2010-05-09
130,-1.5594081768,2010-05-10
134,-1.108165104,2010-05-14
136,-1.5671611944,2010-05-16
138,-1.3573754064,2010-05-18
141,-1.5553428624,2010-05-21
145,-1.639415808,2010-05-25
152,-1.0995220368,2010-06-01
159,-0.622499796,2010-06-08
163,-0.7760339568,2010-06-12
191,0.11486416896,2010-07-10
199,0.23295587472,2010-07-18
211,-0.856384704,2010-07-30
237,0.17470574424,2010-08-25
240,0.239440428,2010-08-28
242,0.6199980624,2010-08-30
248,0.25805524752,2010-09-05
258,0.06091729632,2010-09-15
260,0.05504753304,2010-09-17
264,0.15255712584,2010-09-21
274,-0.5611570488,2010-10-01
280,-0.534677544,2010-10-07
285,-0.5729704128,2010-10-12
286,-1.0510663248,2010-10-13
301,-0.2087877276,2010-10-28
309,-0.2362254354,2010-11-05
317,0.0378356184,2010-11-13
334,0.2130994656,2010-11-30
342,-0.04966334424,2010-12-08
390,-0.01476589824,2011-01-25
582,0.4365586368,2011-08-05
592,0.2363595336,2011-08-15
593,0.16665413472,2011-08-16
670,0.04977957816,2011-11-01
726,0.21878193096,2011-12-27
735,0.2066004576,2012-01-05
739,0.13857330312,2012-01-09
1011,-0.2785743144,2012-10-07
1105,0.19087006752,2013-01-09
1137,0.08934839352,2013-02-10
1187,-0.1025522424,2013-04-01
1281,1.402356888,2013-07-04
1287,0.0905711328,2013-07-10
1296,-1.7843309856,2013-07-19
1297,-1.808922132,2013-07-20
1302,-1.723275864,2013-07-25
1308,-3.211388856,2013-07-31
1323,-3.893694624,2013-08-15
1330,-2.141110584,2013-08-22
1331,-1.359737712,2013-08-23
1332,-1.5380149536,2013-08-24
1335,-0.577153296,2013-08-27
1336,-0.9174276,2013-08-28
1337,-1.083531384,2013-08-29
1338,-0.659697372,2013-08-30
1342,-0.4213456056,2013-09-03
1343,-1.3938560136,2013-09-04
1348,-1.29032136,2013-09-09
1356,-1.846824624,2013-09-17
1357,-1.7354313936,2013-09-18
1360,-2.26514448,2013-09-21
1364,-2.2541308128,2013-09-25
1366,-1.02302894592,2013-09-27
1371,-1.3660300512,2013-10-02
1372,-1.63857897648,2013-10-03
1373,-0.8986081464,2013-10-04
1376,-1.047525264,2013-10-07
1377,-1.027441152,2013-10-08
1382,-0.58401,2013-10-13
